BoardName;AnnualReportDate;CommitteeName;DirectorName;CommitteeRoleName;FunctionalExperience;BoardRole;BrdPosition;DirRoleStatus;BoardID;NED;DirectorID;Ticker
FIRST HORIZON CORP (First Horizon National Corp prior to 11/2020);01/12/2018;Executive and Risk;Doctor Scott Niswonger;Member;;Independent Director;Yes;Doctor Scott Niswonger joined this role in 16 Oct 2012;233;Yes;201698;FHN
FIRST HORIZON CORP (First Horizon National Corp prior to 11/2020);01/12/2018;Audit;John Compton;Member;;Independent Director;Yes;John Compton departed in 24 Apr 2018;233;Yes;485991;FHN
FIRST HORIZON CORP (First Horizon National Corp prior to 11/2020);01/12/2018;Compensation;John Compton;Member;;Independent Director;Yes;John Compton joined this role in 19 Apr 2011;233;Yes;485991;FHN
FIRST HORIZON CORP (First Horizon National Corp prior to 11/2020);01/12/2018;Nominating and Corporate Governance;John Compton;Chairman;CEO(1);Independent Director;Yes;John Compton joined this role in 28 Apr 2015;233;Yes;485991;FHN
FIRST HORIZON CORP (First Horizon National Corp prior to 11/2020);01/12/2018;Nominating and Corporate Governance;John Compton;Chairman;Chairman(4);Independent Director;Yes;John Compton joined this role in 28 Apr 2015;233;Yes;485991;FHN
FIRST HORIZON CORP (First Horizon National Corp prior to 11/2020);01/12/2018;Nominating and Corporate Governance;John Compton;Chairman;Division CEO(2);Independent Director;Yes;John Compton joined this role in 28 Apr 2015;233;Yes;485991;FHN
FIRST HORIZON CORP (First Horizon National Corp prior to 11/2020);01/12/2018;Nominating and Corporate Governance;John Compton;Chairman;Independent Chairman(2);Independent Director;Yes;John Compton joined this role in 28 Apr 2015;233;Yes;485991;FHN
FIRST HORIZON CORP (First Horizon National Corp prior to 11/2020);01/12/2018;Executive and Risk;John Compton;Member;;Independent Director;Yes;John Compton joined this role in 26 Apr 2016;233;Yes;485991;FHN
FIRST HORIZON CORP (First Horizon National Corp prior to 11/2020);01/12/2018;Audit;Cece Stewart;Member;;Independent Director;Yes;Cece Stewart joined this role in 20 Oct 2014;233;Yes;532978;FHN
FIRST HORIZON CORP (First Horizon National Corp prior to 11/2020);01/12/2018;Information Technology;Cece Stewart;Chairwoman;;Independent Director;Yes;Cece Stewart joined this role in Jan 2016;233;Yes;532978;FHN
FIRST HORIZON CORP (First Horizon National Corp prior to 11/2020);01/12/2018;Audit;Raj Subramaniam;Member;;Independent Director;Yes;Raj Subramaniam joined this role in 25 Jul 2016;233;Yes;547132;FHN
FIRST HORIZON CORP (First Horizon National Corp prior to 11/2020);01/12/2018;Nominating and Corporate Governance;Raj Subramaniam;Member;;Independent Director;Yes;Raj Subramaniam joined this role in 25 Jul 2016;233;Yes;547132;FHN
FIRST HORIZON CORP (First Horizon National Corp prior to 11/2020);01/12/2018;Information Technology;Raj Subramaniam;Member;;Independent Director;Yes;Raj Subramaniam joined this role in 25 Jul 2016;233;Yes;547132;FHN
FIRST HORIZON CORP (First Horizon National Corp prior to 11/2020);01/12/2018;Audit;Mark Emkes;Chairman / Financial Expert;;Independent Director;Yes;Mark Emkes joined this role in 29 Apr 2014;233;Yes;598798;FHN
FIRST HORIZON CORP (First Horizon National Corp prior to 11/2020);01/12/2018;Compensation;Mark Emkes;Member;;Independent Director;Yes;Mark Emkes joined this role in 23 Jan 2018;233;Yes;598798;FHN
FIRST HORIZON CORP (First Horizon National Corp prior to 11/2020);01/12/2018;Information Technology;Mark Emkes;Member;;Independent Director;Yes;Mark Emkes joined this role in 26 Apr 2016;233;Yes;598798;FHN
FIRST HORIZON CORP (First Horizon National Corp prior to 11/2020);01/12/2018;Audit;Cory Gilchrist;Member;;Independent Director;Yes;Cory Gilchrist departed in 24 Apr 2018;233;Yes;652573;FHN
FIRST HORIZON CORP (First Horizon National Corp prior to 11/2020);01/12/2018;Nominating and Corporate Governance;Cory Gilchrist;Member;;Independent Director;Yes;Cory Gilchrist joined this role in 16 Jul 2012;233;Yes;652573;FHN
FIRST HORIZON CORP (First Horizon National Corp prior to 11/2020);01/12/2018;Information Technology;Cory Gilchrist;Member;;Independent Director;Yes;Cory Gilchrist joined this role in Jul 2015;233;Yes;652573;FHN
FIRST HORIZON CORP (First Horizon National Corp prior to 11/2020);01/12/2018;Executive and Risk;Cory Gilchrist;Member;;Independent Director;Yes;Cory Gilchrist joined this role in 29 Apr 2014;233;Yes;652573;FHN
FIRST HORIZON CORP (First Horizon National Corp prior to 11/2020);01/12/2018;Audit;Peter Foss;Member;;Independent Director;Yes;Peter Foss joined this role in 30 Nov 2017;233;Yes;1089974;FHN
FIRST HORIZON CORP (First Horizon National Corp prior to 11/2020);01/12/2018;Nominating and Corporate Governance;Peter Foss;Member;;Independent Director;Yes;Peter Foss joined this role in 30 Nov 2017;233;Yes;1089974;FHN
FIFTH THIRD BANCORP;01/12/2018;Audit;Emerson Brumback;Chairman / Financial Expert;;Independent Director;Yes;Emerson Brumback joined this role in 15 Apr 2014;324;Yes;46776;FITB
FIFTH THIRD BANCORP;01/12/2018;Finance;Emerson Brumback;Member;;Independent Director;Yes;Emerson Brumback joined this role in 21 Jun 2011;324;Yes;46776;FITB
FIFTH THIRD BANCORP;01/12/2018;Finance;Mike McCallister;Member;;Independent Director;Yes;Mike McCallister joined this role in 19 Apr 2016;324;Yes;102957;FITB
FIFTH THIRD BANCORP;01/12/2018;Human Capital and Compensation;Mike McCallister;Chairman;;Independent Director;Yes;Mike McCallister joined this role in 19 Apr 2016;324;Yes;102957;FITB
FIFTH THIRD BANCORP;01/12/2018;Finance;Marsha Williams;Member;;Lead Independent Director;Yes;Marsha Williams joined this role in 15 Apr 2014;324;Yes;201578;FITB
FIFTH THIRD BANCORP;01/12/2018;Nominating and Corporate Governance;Marsha Williams;Member;Independent Chairman(1);Lead Independent Director;Yes;Marsha Williams joined this role in 19 Apr 2016;324;Yes;201578;FITB
FIFTH THIRD BANCORP;01/12/2018;Finance;Doctor Gary Heminger;Chairman;;Independent Director;Yes;Doctor Gary Heminger joined this role in 15 Apr 2014;324;Yes;483835;FITB
FIFTH THIRD BANCORP;01/12/2018;Nominating and Corporate Governance;Doctor Gary Heminger;Member;Chairman(1);Independent Director;Yes;Doctor Gary Heminger joined this role in 15 Apr 2014;324;Yes;483835;FITB
FIFTH THIRD BANCORP;01/12/2018;Nominating and Corporate Governance;Doctor Gary Heminger;Member;Chairman/CEO(5);Independent Director;Yes;Doctor Gary Heminger joined this role in 15 Apr 2014;324;Yes;483835;FITB
FIFTH THIRD BANCORP;01/12/2018;Nominating and Corporate Governance;Doctor Gary Heminger;Member;Chairman/President/CEO(1);Independent Director;Yes;Doctor Gary Heminger joined this role in 15 Apr 2014;324;Yes;483835;FITB
FIFTH THIRD BANCORP;01/12/2018;Nominating and Corporate Governance;Doctor Gary Heminger;Member;President/CEO(1);Independent Director;Yes;Doctor Gary Heminger joined this role in 15 Apr 2014;324;Yes;483835;FITB
FIFTH THIRD BANCORP;01/12/2018;Human Capital and Compensation;Doctor Gary Heminger;Member;;Independent Director;Yes;Doctor Gary Heminger joined this role in 15 Apr 2014;324;Yes;483835;FITB
FIFTH THIRD BANCORP;01/12/2018;Compliance and Risk;The Hon. Evan Bayh III;Member;;Independent Director;Yes;The Hon. Evan Bayh III joined this role in 19 Apr 2011;324;Yes;491751;FITB
FIFTH THIRD BANCORP;01/12/2018;Nominating and Corporate Governance;The Hon. Evan Bayh III;Member;;Independent Director;Yes;The Hon. Evan Bayh III joined this role in 17 Apr 2012;324;Yes;491751;FITB
FIFTH THIRD BANCORP;01/12/2018;Audit;Jewell Hoover;Member;;Independent Director;Yes;Jewell Hoover joined this role in 20 Apr 2010;324;Yes;496307;FITB
FIFTH THIRD BANCORP;01/12/2018;Finance;Jewell Hoover;Member;;Independent Director;Yes;Jewell Hoover joined this role in 19 Apr 2016;324;Yes;496307;FITB
FIFTH THIRD BANCORP;01/12/2018;Compliance and Risk;Jewell Hoover;Chairman;;Independent Director;Yes;Jewell Hoover joined this role in 15 Apr 2014;324;Yes;496307;FITB
FIFTH THIRD BANCORP;01/12/2018;Finance;Nick Akins;Member;;Independent Director;Yes;Nick Akins joined this role in 19 Apr 2016;324;Yes;533555;FITB
FIFTH THIRD BANCORP;01/12/2018;Nominating and Corporate Governance;Nick Akins;Chairman;Chairman/President/CEO(2);Independent Director;Yes;Nick Akins joined this role in 19 Apr 2016;324;Yes;533555;FITB
FIFTH THIRD BANCORP;01/12/2018;Nominating and Corporate Governance;Nick Akins;Chairman;President/CEO(2);Independent Director;Yes;Nick Akins joined this role in 19 Apr 2016;324;Yes;533555;FITB
FIFTH THIRD BANCORP;01/12/2018;Nominating and Corporate Governance;Nick Akins;Chairman;Vice Chairman(2);Independent Director;Yes;Nick Akins joined this role in 19 Apr 2016;324;Yes;533555;FITB
FIFTH THIRD BANCORP;01/12/2018;Human Capital and Compensation;Nick Akins;Member;;Independent Director;Yes;Nick Akins joined this role in 15 Apr 2014;324;Yes;533555;FITB
FIFTH THIRD BANCORP;01/12/2018;Audit;Jerry Burris;Member;;Independent Director;Yes;Jerry Burris joined this role in 20 Dec 2016;324;Yes;545206;FITB
FIFTH THIRD BANCORP;01/12/2018;Compliance and Risk;Jerry Burris;Member;;Independent Director;Yes;Jerry Burris joined this role in 18 Apr 2017;324;Yes;545206;FITB
FIFTH THIRD BANCORP;01/12/2018;Audit;Eileen Mallesch;Member;VP/CFO(1);Independent Director;Yes;Eileen Mallesch joined this role in Sep 2018;324;Yes;833224;FITB
FIFTH THIRD BANCORP;01/12/2018;Compliance and Risk;Eileen Mallesch;Member;;Independent Director;Yes;Eileen Mallesch departed in Sep 2018;324;Yes;833224;FITB
FIFTH THIRD BANCORP;01/12/2018;Human Capital and Compensation;Eileen Mallesch;Member;;Independent Director;Yes;Eileen Mallesch joined this role in 18 Apr 2017;324;Yes;833224;FITB
FIFTH THIRD BANCORP;01/12/2018;Audit;Jorge Benitez;Member;;Independent Director;Yes;Jorge Benitez joined this role in Sep 2018;324;Yes;1121140;FITB
FIFTH THIRD BANCORP;01/12/2018;Compliance and Risk;Jorge Benitez;Member;;Independent Director;Yes;Jorge Benitez joined this role in 14 Sep 2015;324;Yes;1121140;FITB
FIFTH THIRD BANCORP;01/12/2018;Nominating and Corporate Governance;Jorge Benitez;Member;;Independent Director;Yes;Jorge Benitez joined this role in 19 Apr 2016;324;Yes;1121140;FITB
FIFTH THIRD BANCORP;01/12/2018;Audit;Katie Blackburn;Member;;Independent Director;Yes;Katie Blackburn departed in Sep 2018;324;Yes;1487266;FITB
FIFTH THIRD BANCORP;01/12/2018;Compliance and Risk;Katie Blackburn;Member;;Independent Director;Yes;Katie Blackburn joined this role in Sep 2018;324;Yes;1487266;FITB
FIFTH THIRD BANCORP;01/12/2018;Nominating and Corporate Governance;Katie Blackburn;Member;;Independent Director;Yes;Katie Blackburn joined this role in 18 Apr 2017;324;Yes;1487266;FITB
ABBOTT LABORATORIES;01/12/2018;Audit;Nancy McKinstry;Member;;Independent Director;Yes;Nancy McKinstry joined this role in 27 Apr 2012;428;Yes;25615;ABT
ABBOTT LABORATORIES;01/12/2018;Nomination and Governance;Nancy McKinstry;Member;CEO(2);Independent Director;Yes;Nancy McKinstry joined this role in 28 Apr 2017;428;Yes;25615;ABT
ABBOTT LABORATORIES;01/12/2018;Nomination and Governance;Nancy McKinstry;Member;Division CEO(1);Independent Director;Yes;Nancy McKinstry joined this role in 28 Apr 2017;428;Yes;25615;ABT
ABBOTT LABORATORIES;01/12/2018;Nomination and Governance;Nancy McKinstry;Member;President/CEO(1);Independent Director;Yes;Nancy McKinstry joined this role in 28 Apr 2017;428;Yes;25615;ABT
ABBOTT LABORATORIES;01/12/2018;Audit;Glenn Tilton;Member;;Independent Director;Yes;Glenn Tilton joined this role in 27 Apr 2007;428;Yes;33296;ABT
ABBOTT LABORATORIES;01/12/2018;Public Policy;Glenn Tilton;Member;;Independent Director;Yes;Glenn Tilton joined this role in 27 Apr 2012;428;Yes;33296;ABT
ABBOTT LABORATORIES;01/12/2018;Audit;Roxanne Austin;Member;;Independent Director;Yes;Roxanne Austin joined this role in 28 Apr 2017;428;Yes;33450;ABT
ABBOTT LABORATORIES;01/12/2018;Executive;Roxanne Austin;Member;;Independent Director;Yes;Roxanne Austin joined this role in 27 Apr 2007;428;Yes;33450;ABT
ABBOTT LABORATORIES;01/12/2018;Compensation;Roxanne Austin;Chairman;;Independent Director;Yes;Roxanne Austin joined this role in 28 Apr 2017;428;Yes;33450;ABT
ABBOTT LABORATORIES;01/12/2018;Executive;Miles White;Chairman;;Chairman/CEO;Yes;Miles White joined this role in Jan 1999;428;No;33500;ABT
ABBOTT LABORATORIES;01/12/2018;Audit;Ed Liddy;Chairman / Financial Expert;;Independent Director;Yes;Ed Liddy joined this role in 28 Apr 2017;428;Yes;33916;ABT
ABBOTT LABORATORIES;01/12/2018;Executive;Ed Liddy;Member;;Independent Director;Yes;Ed Liddy joined this role in 28 Apr 2017;428;Yes;33916;ABT
ABBOTT LABORATORIES;01/12/2018;Compensation;Ed Liddy;Member;;Independent Director;Yes;Ed Liddy joined this role in 11 Jun 2010;428;Yes;33916;ABT
ABBOTT LABORATORIES;01/12/2018;Audit;Sam Scott III;Member;;Independent Director;Yes;Sam Scott III joined this role in 27 Apr 2007;428;Yes;35330;ABT
ABBOTT LABORATORIES;01/12/2018;Compensation;Sam Scott III;Member;;Independent Director;Yes;Sam Scott III joined this role in 27 Apr 2012;428;Yes;35330;ABT
ABBOTT LABORATORIES;01/12/2018;Executive;Bill Osborn;Member;;Lead Independent Director;Yes;Bill Osborn joined this role in 27 Apr 2012;428;Yes;36014;ABT
ABBOTT LABORATORIES;01/12/2018;Compensation;Bill Osborn;Member;;Lead Independent Director;Yes;Bill Osborn joined this role in 25 Apr 2008;428;Yes;36014;ABT
ABBOTT LABORATORIES;01/12/2018;Nomination and Governance;Bill Osborn;Chair;Chairman(3);Lead Independent Director;Yes;Bill Osborn joined this role in 27 Apr 2012;428;Yes;36014;ABT
ABBOTT LABORATORIES;01/12/2018;Nomination and Governance;Bill Osborn;Chair;Chairman/CEO(4);Lead Independent Director;Yes;Bill Osborn joined this role in 27 Apr 2012;428;Yes;36014;ABT
ABBOTT LABORATORIES;01/12/2018;Nomination and Governance;Bill Osborn;Chair;Chairman/President/CEO(1);Lead Independent Director;Yes;Bill Osborn joined this role in 27 Apr 2012;428;Yes;36014;ABT
ABBOTT LABORATORIES;01/12/2018;Nomination and Governance;Bill Osborn;Chair;President/CEO(2);Lead Independent Director;Yes;Bill Osborn joined this role in 27 Apr 2012;428;Yes;36014;ABT
ABBOTT LABORATORIES;01/12/2018;Executive;Phebe Novakovic;Member;;Independent Director;Yes;Phebe Novakovic joined this role in 29 Apr 2011;428;Yes;45561;ABT
ABBOTT LABORATORIES;01/12/2018;Public Policy;Phebe Novakovic;Chairman;;Independent Director;Yes;Phebe Novakovic joined this role in 29 Apr 2011;428;Yes;45561;ABT
ABBOTT LABORATORIES;01/12/2018;Compensation;Phebe Novakovic;Member;;Independent Director;Yes;Phebe Novakovic joined this role in 28 Apr 2017;428;Yes;45561;ABT
ABBOTT LABORATORIES;01/12/2018;Public Policy;Daniel Starks;Member;;Independent Director;Yes;Daniel Starks joined this role in 28 Apr 2017;428;Yes;45991;ABT
ABBOTT LABORATORIES;01/12/2018;Public Policy;John Stratton;Member;;Independent Director;Yes;John Stratton joined this role in 29 Jun 2017;428;Yes;533768;ABT
ABBOTT LABORATORIES;01/12/2018;Nomination and Governance;John Stratton;Member;;Independent Director;Yes;John Stratton joined this role in 29 Jun 2017;428;Yes;533768;ABT
ABBOTT LABORATORIES;01/12/2018;Public Policy;Professor Doctor Robert Alpern;Member;;Independent Director;Yes;Professor Doctor Robert Alpern joined this role in 24 Apr 2009;428;Yes;755263;ABT
ABBOTT LABORATORIES;01/12/2018;Nomination and Governance;Professor Doctor Robert Alpern;Member;;Independent Director;Yes;Professor Doctor Robert Alpern joined this role in 27 Apr 2012;428;Yes;755263;ABT
ABBOTT LABORATORIES;01/12/2018;Audit;Michelle Kumbier;Member;;Independent Director;Yes;Michelle Kumbier joined this role in 2018;428;Yes;891711;ABT
ABBOTT LABORATORIES;01/12/2018;Public Policy;Sally Blount;Member;;Independent Director;Yes;Sally Blount joined this role in 27 Apr 2012;428;Yes;1138600;ABT
ABBOTT LABORATORIES;01/12/2018;Nomination and Governance;Sally Blount;Member;;Independent Director;Yes;Sally Blount joined this role in 27 Apr 2012;428;Yes;1138600;ABT
ABERCROMBIE & FITCH CO;01/02/2018;Compensation and Organization;Terry Burman;Member;;Independent Chairman;Yes;Terry Burman departed in 03 Feb 2018;446;Yes;3908;ANF
ABERCROMBIE & FITCH CO;01/02/2018;Nominating and Board Governance;Terry Burman;Chairman;CEO(1);Independent Chairman;Yes;Terry Burman joined this role in 18 Jun 2015;446;Yes;3908;ANF
ABERCROMBIE & FITCH CO;01/02/2018;Nominating and Board Governance;Terry Burman;Chairman;Chairman(1);Independent Chairman;Yes;Terry Burman joined this role in 18 Jun 2015;446;Yes;3908;ANF
ABERCROMBIE & FITCH CO;01/02/2018;Nominating and Board Governance;Terry Burman;Chairman;Chairman/CEO(1);Independent Chairman;Yes;Terry Burman joined this role in 18 Jun 2015;446;Yes;3908;ANF
ABERCROMBIE & FITCH CO;01/02/2018;Nominating and Board Governance;Terry Burman;Chairman;Chairman/President(1);Independent Chairman;Yes;Terry Burman joined this role in 18 Jun 2015;446;Yes;3908;ANF
ABERCROMBIE & FITCH CO;01/02/2018;Nominating and Board Governance;Terry Burman;Chairman;Group CEO(2);Independent Chairman;Yes;Terry Burman joined this role in 18 Jun 2015;446;Yes;3908;ANF
ABERCROMBIE & FITCH CO;01/02/2018;Nominating and Board Governance;Terry Burman;Chairman;Independent Chairman(3);Independent Chairman;Yes;Terry Burman joined this role in 18 Jun 2015;446;Yes;3908;ANF
ABERCROMBIE & FITCH CO;01/02/2018;Nominating and Board Governance;Terry Burman;Chairman;President/CEO(1);Independent Chairman;Yes;Terry Burman joined this role in 18 Jun 2015;446;Yes;3908;ANF
ABERCROMBIE & FITCH CO;01/02/2018;Executive;Arthur Martinez;Chairman;;Chairman (Executive);Yes;Arthur Martinez departed in 03 Feb 2018;446;No;24987;ANF
ABERCROMBIE & FITCH CO;01/02/2018;Executive;Arthur Martinez;Chairman;;Director - SD;Yes;Arthur Martinez departed in 03 Feb 2018;446;Yes;24987;ANF
ABERCROMBIE & FITCH CO;01/02/2018;Audit and Finance;Michael Greenlees;Financial Expert;;Independent Director;Yes;Michael Greenlees joined this role in 18 Feb 2015;446;Yes;35546;ANF
ABERCROMBIE & FITCH CO;01/02/2018;Compensation and Organization;Michael Greenlees;Chairman;;Independent Director;Yes;Michael Greenlees joined this role in 20 Aug 2014;446;Yes;35546;ANF
ABERCROMBIE & FITCH CO;01/02/2018;Audit and Finance;Charlie Perrin;Financial Expert;;Independent Director;Yes;Charlie Perrin joined this role in 15 Jun 2017;446;Yes;47551;ANF
ABERCROMBIE & FITCH CO;01/02/2018;Compensation and Organization;Charlie Perrin;Member;;Independent Director;Yes;Charlie Perrin joined this role in 20 Feb 2014;446;Yes;47551;ANF
ABERCROMBIE & FITCH CO;01/02/2018;Audit and Finance;Stephanie Shern;Financial Expert;;Independent Director;Yes;Stephanie Shern departed in 15 Aug 2017;446;Yes;49396;ANF
ABERCROMBIE & FITCH CO;01/02/2018;Corporate Social Responsibility;Archie Griffin;Chairman;;Independent Director;Yes;Archie Griffin joined this role in 15 Feb 2011;446;Yes;66202;ANF
ABERCROMBIE & FITCH CO;01/02/2018;Nominating and Board Governance;Archie Griffin;Member;President/CEO(1);Independent Director;Yes;Archie Griffin joined this role in 15 Jun 2005;446;Yes;66202;ANF
ABERCROMBIE & FITCH CO;01/02/2018;Executive;Jim Bachmann;Member;;Independent Director;Outside;Jim Bachmann departed in 15 Jun 2017;446;Yes;105912;ANF
ABERCROMBIE & FITCH CO;01/02/2018;Audit and Finance;Jim Bachmann;Chairman / Financial Expert;;Independent Director;Outside;Jim Bachmann joined this role in 18 Feb 2015;446;Yes;105912;ANF
ABERCROMBIE & FITCH CO;01/02/2018;Corporate Social Responsibility;Jim Bachmann;Member;;Independent Director;Outside;Jim Bachmann joined this role in 19 Jun 2014;446;Yes;105912;ANF
ABERCROMBIE & FITCH CO;01/02/2018;Executive;Ambassador Craig Stapleton;Member;;Independent Director;Yes;Ambassador Craig Stapleton departed in 15 Jun 2017;446;Yes;447686;ANF
ABERCROMBIE & FITCH CO;01/02/2018;Audit and Finance;Ambassador Craig Stapleton;Financial Expert;;Independent Director;Yes;Ambassador Craig Stapleton departed in 15 Jun 2017;446;Yes;447686;ANF
ABERCROMBIE & FITCH CO;01/02/2018;Compensation and Organization;Ambassador Craig Stapleton;Member;;Independent Director;Yes;Ambassador Craig Stapleton departed in 15 Jun 2017;446;Yes;447686;ANF
ABERCROMBIE & FITCH CO;01/02/2018;Nominating and Board Governance;Ambassador Craig Stapleton;Member;;Independent Director;Yes;Ambassador Craig Stapleton departed in 15 Jun 2017;446;Yes;447686;ANF
ABERCROMBIE & FITCH CO;01/02/2018;Compensation and Organization;Bonnie Brooks;Member;;Independent Director;Yes;Bonnie Brooks joined this role in 15 Jun 2017;446;Yes;1048341;ANF
ABERCROMBIE & FITCH CO;01/02/2018;Nominating and Board Governance;Bonnie Brooks;Member;Chairman(1);Independent Director;Yes;Bonnie Brooks joined this role in 19 Jun 2014;446;Yes;1048341;ANF
ABERCROMBIE & FITCH CO;01/02/2018;Nominating and Board Governance;Bonnie Brooks;Member;President/CEO(1);Independent Director;Yes;Bonnie Brooks joined this role in 19 Jun 2014;446;Yes;1048341;ANF
ABERCROMBIE & FITCH CO;01/02/2018;Nominating and Board Governance;Bonnie Brooks;Member;Vice Chairwoman(1);Independent Director;Yes;Bonnie Brooks joined this role in 19 Jun 2014;446;Yes;1048341;ANF
ABERCROMBIE & FITCH CO;01/02/2018;Executive;Fran Horowitz-Bonadies;Member;;CEO;Yes;Fran Horowitz-Bonadies joined this role in 01 Feb 2017;446;No;1058730;ANF
ABERCROMBIE & FITCH CO;01/02/2018;Corporate Social Responsibility;Sarah Gallagher;Member;;Independent Director;Yes;Sarah Gallagher joined this role in 19 Jun 2014;446;Yes;1389108;ANF
ABERCROMBIE & FITCH CO;01/02/2018;Nominating and Board Governance;Sarah Gallagher;Member;Chairman (Executive)(1);Independent Director;Yes;Sarah Gallagher joined this role in 19 Jun 2014;446;Yes;1389108;ANF
ACCENTURE PLC (Accenture Ltd prior to 09/2009);01/08/2018;Finance;Herbert Hainer;Member;;Independent Director;Yes;Herbert Hainer joined this role in 02 Nov 2016;573;Yes;8828;ACN
ACCENTURE PLC (Accenture Ltd prior to 09/2009);01/08/2018;Compensation;Herbert Hainer;Member;;Independent Director;Yes;Herbert Hainer joined this role in 02 Nov 2016;573;Yes;8828;ACN
ACCENTURE PLC (Accenture Ltd prior to 09/2009);01/08/2018;Compensation;Arun Sarin;Member;;Independent Director;Yes;Arun Sarin joined this role in 30 Oct 2015;573;Yes;11523;ACN
ACCENTURE PLC (Accenture Ltd prior to 09/2009);01/08/2018;Nominating and Governance;Arun Sarin;Member;CEO(4);Independent Director;Yes;Arun Sarin joined this role in 30 Oct 2015;573;Yes;11523;ACN
ACCENTURE PLC (Accenture Ltd prior to 09/2009);01/08/2018;Nominating and Governance;Arun Sarin;Member;Chairman(1);Independent Director;Yes;Arun Sarin joined this role in 30 Oct 2015;573;Yes;11523;ACN
ACCENTURE PLC (Accenture Ltd prior to 09/2009);01/08/2018;Nominating and Governance;Arun Sarin;Member;President/CEO(1);Independent Director;Yes;Arun Sarin joined this role in 30 Oct 2015;573;Yes;11523;ACN
ACCENTURE PLC (Accenture Ltd prior to 09/2009);01/08/2018;Nominating and Governance;Arun Sarin;Member;Vice Chairman(1);Independent Director;Yes;Arun Sarin joined this role in 30 Oct 2015;573;Yes;11523;ACN
ACCENTURE PLC (Accenture Ltd prior to 09/2009);01/08/2018;Audit;Nancy McKinstry;Financial Expert;;Independent Director;Yes;Nancy McKinstry departed in 07 Feb 2018;573;Yes;25615;ACN
ACCENTURE PLC (Accenture Ltd prior to 09/2009);01/08/2018;Compensation;Nancy McKinstry;Member;;Independent Director;Yes;Nancy McKinstry joined this role in 12 Apr 2018;573;Yes;25615;ACN
ACCENTURE PLC (Accenture Ltd prior to 09/2009);01/08/2018;Nominating and Governance;Nancy McKinstry;Member;CEO(2);Independent Director;Yes;Nancy McKinstry joined this role in 18 Jul 2017;573;Yes;25615;ACN
