BoardName;Ticker;AnnualReportDate;CommitteeName;DirectorName;CommitteeRoleName;FunctionalExperience;BoardRole;BrdPosition;DirRoleStatus;BoardID;NED;DirectorID
CHUBB LTD (ACE Ltd prior to 01/2016);CB;01/12/2019;Audit;Kimberly Ross;Financial Expert;Executive VP/CFO(4);Independent Director;Yes;Kimberly Ross joined this role in 15 May 2014;616;Yes;488191
CHUBB LTD (ACE Ltd prior to 01/2016);CB;01/12/2019;Audit;Ted Shasta;Financial Expert;;Independent Director;Yes;Ted Shasta joined this role in 19 May 2010;616;Yes;1009328
AKAMAI TECHNOLOGIES INC;AKAM;01/12/2019;Audit;Fred Salerno;Chairman / Financial Expert;Senior Executive VP/CFO(1);Independent Chairman;Yes;Fred Salerno joined this role in 15 May 2019;1221;Yes;25012
AKAMAI TECHNOLOGIES INC;AKAM;01/12/2019;Audit;Fred Salerno;Chairman / Financial Expert;Vice Chairman/CFO(1);Independent Chairman;Yes;Fred Salerno joined this role in 15 May 2019;1221;Yes;25012
AKAMAI TECHNOLOGIES INC;AKAM;01/12/2019;Audit;Naomi Seligman;Member;;Independent Director;Yes;Naomi Seligman departed in 15 May 2019;1221;Yes;35718
AKAMAI TECHNOLOGIES INC;AKAM;01/12/2019;Audit;Dan Hesse;Member;;Independent Director;Yes;Dan Hesse joined this role in 17 May 2017;1221;Yes;54581
AKAMAI TECHNOLOGIES INC;AKAM;01/12/2019;Audit;Pam Craig;Chairman / Financial Expert;CFO(1);Independent Director;Yes;Pam Craig departed in 15 May 2019;1221;Yes;92292
AKAMAI TECHNOLOGIES INC;AKAM;01/12/2019;Audit;Jill Greenthal;Member;;Independent Director;Yes;Jill Greenthal joined this role in 09 Oct 2007;1221;Yes;481140
AKAMAI TECHNOLOGIES INC;AKAM;01/12/2019;Audit;Madhu Ranganathan;Financial Expert;CFO(1);Independent Director;Yes;Madhu Ranganathan joined this role in 07 Jun 2019;1221;Yes;488413
AKAMAI TECHNOLOGIES INC;AKAM;01/12/2019;Audit;Madhu Ranganathan;Financial Expert;Executive VP/CFO(1);Independent Director;Yes;Madhu Ranganathan joined this role in 07 Jun 2019;1221;Yes;488413
AKAMAI TECHNOLOGIES INC;AKAM;01/12/2019;Audit;Tom Killalea;Member;;Independent Director;Yes;Tom Killalea joined this role in 06 Mar 2018;1221;Yes;1528723
ATI INC (Allegheny Technologies Inc prior to 07/2022);ATI;01/12/2019;Audit;Jim Diggs;Member;;Independent Director;Yes;Jim Diggs joined this role in 08 May 2003;1416;Yes;36119
ATI INC (Allegheny Technologies Inc prior to 07/2022);ATI;01/12/2019;Audit;Leroy Ball Jr;Financial Expert;VP/CFO(3);Independent Director;Yes;Leroy Ball Jr joined this role in 28 Feb 2019;1416;Yes;338491
ATI INC (Allegheny Technologies Inc prior to 07/2022);ATI;01/12/2019;Audit;John Pipski;Chairman / Financial Expert;;Independent Director;Yes;John Pipski joined this role in 01 May 2014;1416;Yes;550996
ATI INC (Allegheny Technologies Inc prior to 07/2022);ATI;01/12/2019;Audit;David Morehouse;Member;;Independent Director;Yes;David Morehouse joined this role in 26 Feb 2015;1416;Yes;1523234
ATI INC (Allegheny Technologies Inc prior to 07/2022);ATI;01/12/2019;Audit;General Hawk Carlisle;Member;;Independent Director;Yes;General Hawk Carlisle joined this role in 20 Feb 2018;1416;Yes;1876114
ATI INC (Allegheny Technologies Inc prior to 07/2022);ATI;01/12/2019;Audit;Marianne Kah;Member;;Independent Director;Yes;Marianne Kah joined this role in 30 May 2019;1416;Yes;1998999
ALLSTATE CORP;ALL;01/12/2019;Audit;Mike Eskew;Financial Expert;;Independent Director;Yes;Mike Eskew joined this role in 29 Jan 2015;1534;Yes;33350
ALLSTATE CORP;ALL;01/12/2019;Audit;Bobby Mehta;Financial Expert;;Independent Director;Yes;Bobby Mehta joined this role in 20 May 2014;1534;Yes;36866
ALLSTATE CORP;ALL;01/12/2019;Audit;Gregg Sherrill;Financial Expert;;Independent Director;Yes;Gregg Sherrill joined this role in 11 May 2018;1534;Yes;513148
ALLSTATE CORP;ALL;01/12/2019;Audit;Kermit Crawford;Chairman;;Independent Director;Yes;Kermit Crawford joined this role in 11 May 2018;1534;Yes;534688
AMAZON.COM INC;AMZN;01/12/2019;Audit;Indra Nooyi;Financial Expert;;Independent Director;Yes;Indra Nooyi joined this role in 25 Feb 2019;1703;Yes;33356
AMAZON.COM INC;AMZN;01/12/2019;Audit;Tom Alberg;Financial Expert;;Independent Director;Yes;Tom Alberg departed in 22 May 2019;1703;Yes;45266
AMAZON.COM INC;AMZN;01/12/2019;Audit;Tom Ryder;Chairman / Financial Expert;;Independent Director;Yes;Tom Ryder joined this role in 21 May 2014;1703;Yes;45311
AMAZON.COM INC;AMZN;01/12/2019;Audit;Wendell Weeks;Financial Expert;;Independent Director;Yes;Wendell Weeks joined this role in 10 Feb 2016;1703;Yes;49961
PROLOGIS INC (AMB Property Corp prior to 06/2011);PLD;01/12/2019;Audit;John Losh;Financial Expert;Executive VP/CFO(1);Independent Director;Yes;John Losh joined this role in 01 May 2019;1710;Yes;24848
PROLOGIS INC (AMB Property Corp prior to 06/2011);PLD;01/12/2019;Audit;Carl Webb;Chair/Financial Expert;;Independent Director;Yes;Carl Webb joined this role in 01 May 2019;1710;Yes;106642
PROLOGIS INC (AMB Property Corp prior to 06/2011);PLD;01/12/2019;Audit;Phil Hawkins;Financial Expert;;Independent Director;Yes;Phil Hawkins joined this role in 22 Aug 2018;1710;Yes;180753
PROLOGIS INC (AMB Property Corp prior to 06/2011);PLD;01/12/2019;Audit;Olivier Piani;Financial Expert;;Independent Director;Yes;Olivier Piani joined this role in 03 May 2017;1710;Yes;331612
PROLOGIS INC (AMB Property Corp prior to 06/2011);PLD;01/12/2019;Audit;Cristina Bita;Financial Expert;;Independent Director;Yes;Cristina Bita joined this role in 02 May 2018;1710;Yes;1998028
AMERICAN ELECTRIC POWER CO INC;AEP;01/12/2019;Audit;Lionel Nowell III;Chairman / Financial Expert;Executive VP/CFO(1);Independent Director;Yes;Lionel Nowell III joined this role in 28 Apr 2009;1809;Yes;33362
AMERICAN ELECTRIC POWER CO INC;AEP;01/12/2019;Audit;Lionel Nowell III;Chairman / Financial Expert;VP/CFO(1);Independent Director;Yes;Lionel Nowell III joined this role in 28 Apr 2009;1809;Yes;33362
AMERICAN ELECTRIC POWER CO INC;AEP;01/12/2019;Audit;Dave Anderson;Financial Expert;CFO(1);Independent Director;Yes;Dave Anderson joined this role in 22 Apr 2014;1809;Yes;55222
AMERICAN ELECTRIC POWER CO INC;AEP;01/12/2019;Audit;Dave Anderson;Financial Expert;Executive VP/CFO(1);Independent Director;Yes;Dave Anderson joined this role in 22 Apr 2014;1809;Yes;55222
AMERICAN ELECTRIC POWER CO INC;AEP;01/12/2019;Audit;Tom Hoaglin;Financial Expert;;Lead Independent Director;Yes;Tom Hoaglin joined this role in 24 Apr 2018;1809;Yes;59916
AMERICAN ELECTRIC POWER CO INC;AEP;01/12/2019;Audit;Sandy Lin;Financial Expert;;Independent Director;Yes;Sandy Lin joined this role in 22 Apr 2014;1809;Yes;276053
AMERICAN ELECTRIC POWER CO INC;AEP;01/12/2019;Audit;Linda Goodspeed;Financial Expert;;Independent Director;Yes;Linda Goodspeed joined this role in 22 Apr 2014;1809;Yes;440198
AMERICAN ELECTRIC POWER CO INC;AEP;01/12/2019;Audit;Meg McCarthy;Financial Expert;;Independent Director;Yes;Meg McCarthy joined this role in 23 Apr 2019;1809;Yes;453067
AMERICAN ELECTRIC POWER CO INC;AEP;01/12/2019;Audit;Art Garcia;Financial Expert;Executive VP/CFO(1);Independent Director;Yes;Art Garcia joined this role in 17 Sep 2019;1809;Yes;456203
AMERICAN ELECTRIC POWER CO INC;AEP;01/12/2019;Audit;Art Garcia;Financial Expert;VP/CFO(1);Independent Director;Yes;Art Garcia joined this role in 17 Sep 2019;1809;Yes;456203
AMERICAN ELECTRIC POWER CO INC;AEP;01/12/2019;Audit;James Beasley Jr;Financial Expert;;Independent Director;Yes;James Beasley Jr departed in 23 Apr 2019;1809;Yes;456610
AMERICAN INTERNATIONAL GROUP INC (AIG);AIG;01/12/2019;Audit;John Fitzpatrick;Financial Expert;CFO(1);Independent Director;Yes;John Fitzpatrick joined this role in 11 May 2011;1856;Yes;15411
AMERICAN INTERNATIONAL GROUP INC (AIG);AIG;01/12/2019;Audit;John Fitzpatrick;Financial Expert;Executive VP/CFO(1);Independent Director;Yes;John Fitzpatrick joined this role in 11 May 2011;1856;Yes;15411
AMERICAN INTERNATIONAL GROUP INC (AIG);AIG;01/12/2019;Audit;Jerry Jurgensen;Chairman / Financial Expert;Executive VP/CFO(1);Independent Director;Yes;Jerry Jurgensen joined this role in 13 May 2015;1856;Yes;33884
AMERICAN INTERNATIONAL GROUP INC (AIG);AIG;01/12/2019;Audit;Terry Stone;Financial Expert;Executive VP/CFO(1);Independent Director;Yes;Terry Stone departed in 21 May 2019;1856;Yes;54677
AMERICAN INTERNATIONAL GROUP INC (AIG);AIG;01/12/2019;Audit;Doug Steenland;Ex-Officio;;Independent Chairman;Yes;Doug Steenland joined this role in 13 May 2015;1856;Yes;182948
AMERICAN INTERNATIONAL GROUP INC (AIG);AIG;01/12/2019;Audit;Ron Rittenmeyer;Financial Expert;;Independent Director;Yes;Ron Rittenmeyer departed in 21 May 2019;1856;Yes;457321
AMERICAN INTERNATIONAL GROUP INC (AIG);AIG;01/12/2019;Audit;Linda Mills;Member;;Independent Director;Yes;Linda Mills joined this role in 11 May 2016;1856;Yes;599457
AMERICAN INTERNATIONAL GROUP INC (AIG);AIG;01/12/2019;Audit;Peter Porrino;Member;Executive VP/CFO(1);Independent Director;Yes;Peter Porrino joined this role in 21 May 2019;1856;Yes;852105
AMERICAN INTERNATIONAL GROUP INC (AIG);AIG;01/12/2019;Audit;Amy Schioldager;Member;;Independent Director;Yes;Amy Schioldager joined this role in 21 May 2019;1856;Yes;1311695
AMERICAN TOWER CORP;AMT;01/12/2019;Audit;Craig Macnab;Financial Expert;;Independent Director;Yes;Craig Macnab departed in Dec 2019;1954;Yes;180669
AMERICAN TOWER CORP;AMT;01/12/2019;Audit;Joann Reed;Chair/Financial Expert;;Independent Director;Yes;Joann Reed joined this role in 20 May 2015;1954;Yes;272653
AMERICAN TOWER CORP;AMT;01/12/2019;Audit;Bruce Tanner;Financial Expert;Executive VP/CFO(1);Independent Director;Yes;Bruce Tanner joined this role in 11 Dec 2019;1954;Yes;546646
AMERICAN TOWER CORP;AMT;01/12/2019;Audit;Grace Lieblein;Financial Expert;;Independent Director;Yes;Grace Lieblein joined this role in 13 Jun 2017;1954;Yes;892403
HESS CORP (Amerada Hess prior to 05/2006);HES;01/12/2019;Audit;Rodney Chase;Financial Expert;;Independent Director;Yes;Rodney Chase joined this role in 16 May 2013;1970;Yes;7108
HESS CORP (Amerada Hess prior to 05/2006);HES;01/12/2019;Audit;Fred Reynolds;Chairman / Financial Expert;CFO(4);Independent Director;Yes;Fred Reynolds departed in 05 Jun 2019;1970;Yes;23569
HESS CORP (Amerada Hess prior to 05/2006);HES;01/12/2019;Audit;Fred Reynolds;Chairman / Financial Expert;Executive VP/CFO(4);Independent Director;Yes;Fred Reynolds departed in 05 Jun 2019;1970;Yes;23569
HESS CORP (Amerada Hess prior to 05/2006);HES;01/12/2019;Audit;Doctor Kevin Meyers;Member;;Independent Director;Yes;Doctor Kevin Meyers joined this role in 16 May 2013;1970;Yes;34354
HESS CORP (Amerada Hess prior to 05/2006);HES;01/12/2019;Audit;Terry Checki;Chairman;;Independent Director;Yes;Terry Checki joined this role in 05 Jun 2019;1970;Yes;994599
HESS CORP (Amerada Hess prior to 05/2006);HES;01/12/2019;Audit;Bill Schrader;Member;;Independent Director;Yes;Bill Schrader joined this role in 16 May 2013;1970;Yes;1296062
AMGEN INC;AMG;01/12/2019;Audit;Frank Herringer;Financial Expert;;Independent Director;Yes;Frank Herringer departed in 21 May 2019;2068;Yes;15734
AMGEN INC;AMGN;01/12/2019;Audit;Frank Herringer;Financial Expert;;Independent Director;Yes;Frank Herringer departed in 21 May 2019;2068;Yes;15734
AMGEN INC;AMG;01/12/2019;Audit;Fred Hassan;Financial Expert;;Independent Director;Yes;Fred Hassan joined this role in 28 Jul 2015;2068;Yes;41301
AMGEN INC;AMGN;01/12/2019;Audit;Fred Hassan;Financial Expert;;Independent Director;Yes;Fred Hassan joined this role in 28 Jul 2015;2068;Yes;41301
AMGEN INC;AMG;01/12/2019;Audit;Charles Holley Jr;Chairman / Financial Expert;Executive VP/CFO(1);Independent Director;Yes;Charles Holley Jr joined this role in Oct 2017;2068;Yes;42386
AMGEN INC;AMGN;01/12/2019;Audit;Charles Holley Jr;Chairman / Financial Expert;Executive VP/CFO(1);Independent Director;Yes;Charles Holley Jr joined this role in Oct 2017;2068;Yes;42386
AMGEN INC;AMG;01/12/2019;Audit;Doctor Rebecca Henderson;Member;;Independent Director;Yes;Doctor Rebecca Henderson joined this role in 19 May 2016;2068;Yes;141595
AMGEN INC;AMGN;01/12/2019;Audit;Doctor Rebecca Henderson;Member;;Independent Director;Yes;Doctor Rebecca Henderson joined this role in 19 May 2016;2068;Yes;141595
AMGEN INC;AMG;01/12/2019;Audit;Ellen Kullman;Financial Expert;;Independent Director;Yes;Ellen Kullman joined this role in 14 Oct 2016;2068;Yes;310270
AMGEN INC;AMGN;01/12/2019;Audit;Ellen Kullman;Financial Expert;;Independent Director;Yes;Ellen Kullman joined this role in 14 Oct 2016;2068;Yes;310270
AMGEN INC;AMG;01/12/2019;Audit;Doctor Brian Druker;Member;;Independent Director;Yes;Doctor Brian Druker joined this role in 22 May 2018;2068;Yes;803675
AMGEN INC;AMGN;01/12/2019;Audit;Doctor Brian Druker;Member;;Independent Director;Yes;Doctor Brian Druker joined this role in 22 May 2018;2068;Yes;803675
AMGEN INC;AMG;01/12/2019;Audit;Doctor Tyler Jacks;Member;;Independent Director;Yes;Doctor Tyler Jacks joined this role in 19 May 2016;2068;Yes;889570
AMGEN INC;AMGN;01/12/2019;Audit;Doctor Tyler Jacks;Member;;Independent Director;Yes;Doctor Tyler Jacks joined this role in 19 May 2016;2068;Yes;889570
AMGEN INC;AMG;01/12/2019;Audit;Doctor Wanda Austin;Member;;Independent Director;Yes;Doctor Wanda Austin joined this role in 11 Dec 2017;2068;Yes;1085829
AMGEN INC;AMGN;01/12/2019;Audit;Doctor Wanda Austin;Member;;Independent Director;Yes;Doctor Wanda Austin joined this role in 11 Dec 2017;2068;Yes;1085829
AMPHENOL CORP;APH;01/12/2019;Audit;Ed Jepsen;Chair/Financial Expert;Executive VP/CFO(2);Independent Director;Yes;Ed Jepsen joined this role in 01 Apr 2010;2100;Yes;206730
AMPHENOL CORP;APH;01/12/2019;Audit;Ronald Badie;Financial Expert;;Independent Director;Yes;Ronald Badie departed in 22 May 2019;2100;Yes;323568
AMPHENOL CORP;APH;01/12/2019;Audit;Stanley Clark;Member;;Independent Director;Yes;Stanley Clark departed in 22 May 2019;2100;Yes;328740
AMPHENOL CORP;APH;01/12/2019;Audit;Bob Livingston;Financial Expert;;Independent Director;Yes;Bob Livingston joined this role in 22 May 2019;2100;Yes;485054
AMPHENOL CORP;APH;01/12/2019;Audit;David Falck;Member;;Presiding Independent Director;Yes;David Falck joined this role in 21 May 2014;2100;Yes;604786
AMPHENOL CORP;APH;01/12/2019;Audit;Anne Wolff;Financial Expert;;Independent Director;Yes;Anne Wolff joined this role in 22 May 2019;2100;Yes;1196662
INVESCO LTD (Invesco PLC prior to 12/2007);IVZ;01/12/2019;Audit;Doctor Denis Kessler;Member;;Independent Director;Yes;Doctor Denis Kessler departed in 09 May 2019;2129;Yes;15867
INVESCO LTD (Invesco PLC prior to 12/2007);IVZ;01/12/2019;Audit;Rick Wagoner Jr;Financial Expert;Executive VP/CFO(1);Independent Chairman;Yes;Rick Wagoner Jr joined this role in 15 May 2014;2129;Yes;24852
INVESCO LTD (Invesco PLC prior to 12/2007);IVZ;01/12/2019;Audit;Rick Wagoner Jr;Financial Expert;VP/CFO(1);Independent Chairman;Yes;Rick Wagoner Jr joined this role in 15 May 2014;2129;Yes;24852
INVESCO LTD (Invesco PLC prior to 12/2007);IVZ;01/12/2019;Audit;Rob Henrikson;Member;;Independent Director;Yes;Rob Henrikson joined this role in 01 Jan 2012;2129;Yes;42316
INVESCO LTD (Invesco PLC prior to 12/2007);IVZ;01/12/2019;Audit;Phoebe Wood;Chair/Financial Expert;Executive VP/CFO(1);Independent Director;Yes;Phoebe Wood joined this role in 14 May 2015;2129;Yes;55977
INVESCO LTD (Invesco PLC prior to 12/2007);IVZ;01/12/2019;Audit;Phoebe Wood;Chair/Financial Expert;Vice Chairman/CFO(1);Independent Director;Yes;Phoebe Wood joined this role in 14 May 2015;2129;Yes;55977
INVESCO LTD (Invesco PLC prior to 12/2007);IVZ;01/12/2019;Audit;Phoebe Wood;Chair/Financial Expert;VP/CFO(2);Independent Director;Yes;Phoebe Wood joined this role in 14 May 2015;2129;Yes;55977
INVESCO LTD (Invesco PLC prior to 12/2007);IVZ;01/12/2019;Audit;Ben Johnson III;Member;;Chairman (Independent Director);Yes;Ben Johnson III departed in 09 May 2019;2129;Yes;181675
INVESCO LTD (Invesco PLC prior to 12/2007);IVZ;01/12/2019;Audit;Sir Nigel Sheinwald;Member;;Independent Director;Yes;Sir Nigel Sheinwald joined this role in 14 May 2015;2129;Yes;1194019
INVESCO LTD (Invesco PLC prior to 12/2007);IVZ;01/12/2019;Audit;Sarah Beshar;Member;;Independent Director;Yes;Sarah Beshar joined this role in 11 May 2017;2129;Yes;1884326
AON PLC (Aon Corp prior to 04/2012);AON;01/12/2019;Audit;Fulvio Conti;Financial Expert;FD(1);Independent Director;Yes;Fulvio Conti joined this role in 24 Jun 2016;2297;Yes;14927
AON PLC (Aon Corp prior to 04/2012);;01/12/2019;Audit;Fulvio Conti;Financial Expert;FD(1);Independent Director;Yes;Fulvio Conti joined this role in 24 Jun 2016;2297;Yes;14927
AON PLC (Aon Corp prior to 04/2012);AON;01/12/2019;Audit;John Losh;Chairman / Financial Expert;Executive VP/CFO(1);Independent Director;Yes;John Losh joined this role in 21 May 2010;2297;Yes;24848
AON PLC (Aon Corp prior to 04/2012);;01/12/2019;Audit;John Losh;Chairman / Financial Expert;Executive VP/CFO(1);Independent Director;Yes;John Losh joined this role in 21 May 2010;2297;Yes;24848
AON PLC (Aon Corp prior to 04/2012);AON;01/12/2019;Audit;Gloria Santona;Member;;Independent Director;Yes;Gloria Santona joined this role in 24 Jun 2016;2297;Yes;36622
AON PLC (Aon Corp prior to 04/2012);;01/12/2019;Audit;Gloria Santona;Member;;Independent Director;Yes;Gloria Santona joined this role in 24 Jun 2016;2297;Yes;36622
AON PLC (Aon Corp prior to 04/2012);AON;01/12/2019;Audit;Doctor Carolyn Woo;Member;;Independent Director;Yes;Doctor Carolyn Woo joined this role in Jan 2000;2297;Yes;50121
AON PLC (Aon Corp prior to 04/2012);;01/12/2019;Audit;Doctor Carolyn Woo;Member;;Independent Director;Yes;Doctor Carolyn Woo joined this role in Jan 2000;2297;Yes;50121
AON PLC (Aon Corp prior to 04/2012);AON;01/12/2019;Audit;General Dick Myers;Member;;Independent Director;Yes;General Dick Myers joined this role in 18 May 2012;2297;Yes;141797
AON PLC (Aon Corp prior to 04/2012);;01/12/2019;Audit;General Dick Myers;Member;;Independent Director;Yes;General Dick Myers joined this role in 18 May 2012;2297;Yes;141797
AON PLC (Aon Corp prior to 04/2012);AON;01/12/2019;Audit;Jeff Campbell;Financial Expert;CFO(1);Independent Director;Yes;Jeff Campbell joined this role in 23 Mar 2018;2297;Yes;206565
AON PLC (Aon Corp prior to 04/2012);;01/12/2019;Audit;Jeff Campbell;Financial Expert;CFO(1);Independent Director;Yes;Jeff Campbell joined this role in 23 Mar 2018;2297;Yes;206565
APA CORP (Apache Corp prior to 03/2021);APA;01/12/2019;Audit;George Lawrence Jr;Financial Expert;;Independent Director;Inside;George Lawrence Jr departed in 23 May 2019;2307;Yes;37356
APA CORP (Apache Corp prior to 03/2021);APA;01/12/2019;Audit;Peter Ragauss;Financial Expert;;Independent Director;Yes;Peter Ragauss joined this role in 17 Dec 2014;2307;Yes;485925
APA CORP (Apache Corp prior to 03/2021);APA;01/12/2019;Audit;Chansoo Joung;Chairman / Financial Expert;;Independent Director;Yes;Chansoo Joung joined this role in 15 May 2014;2307;Yes;553032
APA CORP (Apache Corp prior to 03/2021);APA;01/12/2019;Audit;Amy Nelson;Financial Expert;;Independent Director;Yes;Amy Nelson joined this role in 15 May 2014;2307;Yes;1371228
APA CORP (Apache Corp prior to 03/2021);APA;01/12/2019;Audit;Juliet Ellis;Financial Expert;;Independent Director;Yes;Juliet Ellis joined this role in 23 May 2019;2307;Yes;2100874
APARTMENT INVESTMENT & MANAGEMENT CO (AIMCO);;01/12/2019;Audit;Lanny Martin;Financial Expert;;Lead Independent Director;Yes;Lanny Martin joined this role in 30 Apr 2004;2310;Yes;46436
APARTMENT INVESTMENT & MANAGEMENT CO (AIMCO);AIV;01/12/2019;Audit;Lanny Martin;Financial Expert;;Lead Independent Director;Yes;Lanny Martin joined this role in 30 Apr 2004;2310;Yes;46436
APARTMENT INVESTMENT & MANAGEMENT CO (AIMCO);;01/12/2019;Audit;Tom Keltner;Financial Expert;;Independent Director;Yes;Tom Keltner joined this role in 30 Apr 2007;2310;Yes;57442
APARTMENT INVESTMENT & MANAGEMENT CO (AIMCO);AIV;01/12/2019;Audit;Tom Keltner;Financial Expert;;Independent Director;Yes;Tom Keltner joined this role in 30 Apr 2007;2310;Yes;57442
APARTMENT INVESTMENT & MANAGEMENT CO (AIMCO);;01/12/2019;Audit;Michael Stein;Chairman / Financial Expert;Executive VP/CFO(2);Independent Director;Yes;Michael Stein joined this role in 15 Oct 2004;2310;Yes;92632
APARTMENT INVESTMENT & MANAGEMENT CO (AIMCO);AIV;01/12/2019;Audit;Michael Stein;Chairman / Financial Expert;Executive VP/CFO(2);Independent Director;Yes;Michael Stein joined this role in 15 Oct 2004;2310;Yes;92632
APARTMENT INVESTMENT & MANAGEMENT CO (AIMCO);;01/12/2019;Audit;Michael Stein;Chairman / Financial Expert;VP/CFO(1);Independent Director;Yes;Michael Stein joined this role in 15 Oct 2004;2310;Yes;92632
APARTMENT INVESTMENT & MANAGEMENT CO (AIMCO);AIV;01/12/2019;Audit;Michael Stein;Chairman / Financial Expert;VP/CFO(1);Independent Director;Yes;Michael Stein joined this role in 15 Oct 2004;2310;Yes;92632
APARTMENT INVESTMENT & MANAGEMENT CO (AIMCO);;01/12/2019;Audit;Nina Tran;Financial Expert;CFO(4);Independent Director;Yes;Nina Tran joined this role in 01 Mar 2016;2310;Yes;510856
APARTMENT INVESTMENT & MANAGEMENT CO (AIMCO);AIV;01/12/2019;Audit;Nina Tran;Financial Expert;CFO(4);Independent Director;Yes;Nina Tran joined this role in 01 Mar 2016;2310;Yes;510856
APARTMENT INVESTMENT & MANAGEMENT CO (AIMCO);;01/12/2019;Audit;Doctor Bob Miller;Member;CFO(1);Independent Director;Yes;Doctor Bob Miller joined this role in 30 Apr 2007;2310;Yes;534781
