BoardName;Ticker;AnnualReportDate;CommitteeName;DirectorName;CommitteeRoleName;FunctionalExperience;BoardRole;BrdPosition;DirRoleStatus;BoardID;NED;DirectorID;TenureSince
AETNA INC (Aetna US Healthcare Inc prior to 12/2000) (De-listed 11/2018);HE8;01/12/2017;Audit;Doctor Joseph Newhouse;Financial Expert;;Independent Director;Outside;Doctor Joseph Newhouse joined this role in 25 Apr 2003;989;Yes;50486;
AETNA INC (Aetna US Healthcare Inc prior to 12/2000) (De-listed 11/2018);AET;01/12/2017;Audit;Fernando Aguirre;Financial Expert;;Independent Director;Yes;Fernando Aguirre joined this role in 29 Jul 2011;989;Yes;56567;
AETNA INC (Aetna US Healthcare Inc prior to 12/2000) (De-listed 11/2018);HE8;01/12/2017;Audit;Fernando Aguirre;Financial Expert;;Independent Director;Yes;Fernando Aguirre joined this role in 29 Jul 2011;989;Yes;56567;
AETNA INC (Aetna US Healthcare Inc prior to 12/2000) (De-listed 11/2018);AET;01/12/2017;Audit;Dick Harrington;Chairman / Financial Expert;;Independent Director;Yes;Dick Harrington joined this role in 21 May 2010;989;Yes;183669;
AETNA INC (Aetna US Healthcare Inc prior to 12/2000) (De-listed 11/2018);HE8;01/12/2017;Audit;Dick Harrington;Chairman / Financial Expert;;Independent Director;Yes;Dick Harrington joined this role in 21 May 2010;989;Yes;183669;
AETNA INC (Aetna US Healthcare Inc prior to 12/2000) (De-listed 11/2018);AET;01/12/2017;Audit;The Hon. Olympia Snowe;Member;;Independent Director;Yes;The Hon. Olympia Snowe joined this role in 24 Jul 2014;989;Yes;492553;
AETNA INC (Aetna US Healthcare Inc prior to 12/2000) (De-listed 11/2018);HE8;01/12/2017;Audit;The Hon. Olympia Snowe;Member;;Independent Director;Yes;The Hon. Olympia Snowe joined this role in 24 Jul 2014;989;Yes;492553;
AKAMAI TECHNOLOGIES INC;AKAM;01/12/2017;Audit;Fred Salerno;Member;Senior Executive VP/CFO(1);Lead Independent Director;Yes;Fred Salerno joined this role in 11 May 2016;1221;Yes;25012;
AKAMAI TECHNOLOGIES INC;AKAM;01/12/2017;Audit;Fred Salerno;Member;Vice Chairman/CFO(1);Lead Independent Director;Yes;Fred Salerno joined this role in 11 May 2016;1221;Yes;25012;
AKAMAI TECHNOLOGIES INC;AKAM;01/12/2017;Audit;Naomi Seligman;Member;;Independent Director;Yes;Naomi Seligman joined this role in 18 May 2011;1221;Yes;35718;
AKAMAI TECHNOLOGIES INC;AKAM;01/12/2017;Audit;Dan Hesse;Member;;Independent Director;Yes;Dan Hesse joined this role in 17 May 2017;1221;Yes;54581;
AKAMAI TECHNOLOGIES INC;AKAM;01/12/2017;Audit;Pam Craig;Chairman / Financial Expert;CFO(1);Independent Director;Yes;Pam Craig joined this role in 15 May 2013;1221;Yes;92292;
AKAMAI TECHNOLOGIES INC;AKAM;01/12/2017;Audit;Jill Greenthal;Member;;Independent Director;Yes;Jill Greenthal joined this role in 09 Oct 2007;1221;Yes;481140;
AKAMAI TECHNOLOGIES INC;AKAM;01/12/2017;Audit;Steve Scopellite;Member;;Independent Director;Yes;Steve Scopellite departed in 17 May 2017;1221;Yes;1364834;
ATI INC (Allegheny Technologies Inc prior to 07/2022);ATI;01/12/2017;Audit;Jim Diggs;Member;;Independent Director;Yes;Jim Diggs joined this role in 08 May 2003;1416;Yes;36119;
ATI INC (Allegheny Technologies Inc prior to 07/2022);ATI;01/12/2017;Audit;Louis Thomas;Member;;Independent Director;Yes;Louis Thomas departed in 11 May 2017;1416;Yes;325759;
ATI INC (Allegheny Technologies Inc prior to 07/2022);ATI;01/12/2017;Audit;John Pipski;Chairman / Financial Expert;;Independent Director;Yes;John Pipski joined this role in 01 May 2014;1416;Yes;550996;
ATI INC (Allegheny Technologies Inc prior to 07/2022);ATI;01/12/2017;Audit;David Morehouse;Member;;Independent Director;Yes;David Morehouse joined this role in 26 Feb 2015;1416;Yes;1523234;
ALLSTATE CORP;ALL;01/12/2017;Audit;Mary Taylor;Chairwoman / Financial Expert;Finance Manager(1);Independent Director;Yes;Mary Taylor joined this role in 19 May 2015;1534;Yes;32743;
ALLSTATE CORP;ALL;01/12/2017;Audit;Mike Eskew;Financial Expert;;Independent Director;Yes;Mike Eskew joined this role in 29 Jan 2015;1534;Yes;33350;
ALLSTATE CORP;ALL;01/12/2017;Audit;Bobby Mehta;Financial Expert;;Independent Director;Yes;Bobby Mehta joined this role in 20 May 2014;1534;Yes;36866;
ALLSTATE CORP;ALL;01/12/2017;Audit;Kermit Crawford;Member;;Independent Director;Yes;Kermit Crawford joined this role in 21 May 2013;1534;Yes;534688;
AMAZON.COM INC;AMZN;01/12/2017;Audit;Tom Alberg;Financial Expert;;Independent Director;Yes;Tom Alberg joined this role in 07 Jun 2011;1703;Yes;45266;
AMAZON.COM INC;AMZN;01/12/2017;Audit;Tom Ryder;Chairman / Financial Expert;;Independent Director;Yes;Tom Ryder joined this role in 21 May 2014;1703;Yes;45311;
AMAZON.COM INC;AMZN;01/12/2017;Audit;Wendell Weeks;Financial Expert;;Independent Director;Yes;Wendell Weeks joined this role in 10 Feb 2016;1703;Yes;49961;
PROLOGIS INC (AMB Property Corp prior to 06/2011);PLD;01/12/2017;Audit;John Losh;Chairman / Financial Expert;Executive VP/CFO(1);Independent Director;Yes;John Losh joined this role in 20 May 2004;1710;Yes;24848;
PROLOGIS INC (AMB Property Corp prior to 06/2011);PLD;01/12/2017;Audit;Christine Garvey;Financial Expert;;Independent Director;Yes;Christine Garvey departed in 03 May 2017;1710;Yes;87232;
PROLOGIS INC (AMB Property Corp prior to 06/2011);PLD;01/12/2017;Audit;Carl Webb;Financial Expert;;Independent Director;Yes;Carl Webb joined this role in 01 May 2014;1710;Yes;106642;
PROLOGIS INC (AMB Property Corp prior to 06/2011);PLD;01/12/2017;Audit;Olivier Piani;Financial Expert;;Independent Director;Yes;Olivier Piani joined this role in 03 May 2017;1710;Yes;331612;
AMERICAN ELECTRIC POWER CO INC;AEP;01/12/2017;Audit;Lionel Nowell III;Chairman / Financial Expert;Executive VP/CFO(1);Independent Director;Yes;Lionel Nowell III joined this role in 28 Apr 2009;1809;Yes;33362;
AMERICAN ELECTRIC POWER CO INC;AEP;01/12/2017;Audit;Lionel Nowell III;Chairman / Financial Expert;VP/CFO(1);Independent Director;Yes;Lionel Nowell III joined this role in 28 Apr 2009;1809;Yes;33362;
AMERICAN ELECTRIC POWER CO INC;AEP;01/12/2017;Audit;Dave Anderson;Financial Expert;Executive VP/CFO(1);Independent Director;Yes;Dave Anderson joined this role in 22 Apr 2014;1809;Yes;55222;
AMERICAN ELECTRIC POWER CO INC;AEP;01/12/2017;Audit;Sandy Lin;Financial Expert;;Independent Director;Yes;Sandy Lin joined this role in 22 Apr 2014;1809;Yes;276053;
AMERICAN ELECTRIC POWER CO INC;AEP;01/12/2017;Audit;Linda Goodspeed;Financial Expert;;Independent Director;Yes;Linda Goodspeed joined this role in 22 Apr 2014;1809;Yes;440198;
AMERICAN ELECTRIC POWER CO INC;AEP;01/12/2017;Audit;James Beasley Jr;Financial Expert;;Independent Director;Yes;James Beasley Jr joined this role in 22 Apr 2014;1809;Yes;456610;
AMERICAN ELECTRIC POWER CO INC;AEP;01/12/2017;Audit;Sara Tucker;Financial Expert;;Independent Director;Yes;Sara Tucker joined this role in 22 Apr 2014;1809;Yes;833115;
AMERICAN INTERNATIONAL GROUP INC (AIG);AIG;01/12/2017;Audit;John Fitzpatrick;Financial Expert;CFO(1);Independent Director;Yes;John Fitzpatrick joined this role in 11 May 2011;1856;Yes;15411;
AMERICAN INTERNATIONAL GROUP INC (AIG);AIG;01/12/2017;Audit;John Fitzpatrick;Financial Expert;Executive VP/CFO(1);Independent Director;Yes;John Fitzpatrick joined this role in 11 May 2011;1856;Yes;15411;
AMERICAN INTERNATIONAL GROUP INC (AIG);AIG;01/12/2017;Audit;Jerry Jurgensen;Chairman / Financial Expert;Executive VP/CFO(1);Independent Director;Yes;Jerry Jurgensen joined this role in 13 May 2015;1856;Yes;33884;
AMERICAN INTERNATIONAL GROUP INC (AIG);AIG;01/12/2017;Audit;Terry Stone;Financial Expert;Executive VP/CFO(1);Independent Director;Yes;Terry Stone joined this role in 15 May 2013;1856;Yes;54677;
AMERICAN INTERNATIONAL GROUP INC (AIG);AIG;01/12/2017;Audit;Doug Steenland;Ex-Officio;;Independent Chairman;Yes;Doug Steenland joined this role in 13 May 2015;1856;Yes;182948;
AMERICAN INTERNATIONAL GROUP INC (AIG);AIG;01/12/2017;Audit;Ron Rittenmeyer;Financial Expert;;Independent Director;Yes;Ron Rittenmeyer joined this role in 07 Apr 2010;1856;Yes;457321;
AMERICAN INTERNATIONAL GROUP INC (AIG);AIG;01/12/2017;Audit;Linda Mills;Member;;Independent Director;Yes;Linda Mills joined this role in 11 May 2016;1856;Yes;599457;
AMERICAN TOWER CORP;AMT;01/12/2017;Audit;Craig Macnab;Financial Expert;;Independent Director;Yes;Craig Macnab joined this role in 14 Dec 2014;1954;Yes;180669;
AMERICAN TOWER CORP;AMT;01/12/2017;Audit;Carolyn Katz;Financial Expert;;Independent Director;Yes;Carolyn Katz departed in 31 May 2017;1954;Yes;183905;
AMERICAN TOWER CORP;AMT;01/12/2017;Audit;Joann Reed;Chair/Financial Expert;;Independent Director;Yes;Joann Reed joined this role in 20 May 2015;1954;Yes;272653;
AMERICAN TOWER CORP;AMT;01/12/2017;Audit;David Sharbutt;Financial Expert;;Independent Director;Yes;David Sharbutt joined this role in Apr 2017;1954;Yes;337512;
AMERICAN TOWER CORP;AMT;01/12/2017;Audit;Grace Lieblein;Financial Expert;;Independent Director;Yes;Grace Lieblein joined this role in 13 Jun 2017;1954;Yes;892403;
HESS CORP (Amerada Hess prior to 05/2006);HES;01/12/2017;Audit;Rodney Chase;Financial Expert;;Independent Director;Yes;Rodney Chase joined this role in 16 May 2013;1970;Yes;7108;
HESS CORP (Amerada Hess prior to 05/2006);HES;01/12/2017;Audit;Fred Reynolds;Chairman / Financial Expert;CFO(4);Independent Director;Yes;Fred Reynolds joined this role in 04 May 2016;1970;Yes;23569;
HESS CORP (Amerada Hess prior to 05/2006);HES;01/12/2017;Audit;Fred Reynolds;Chairman / Financial Expert;Executive VP/CFO(4);Independent Director;Yes;Fred Reynolds joined this role in 04 May 2016;1970;Yes;23569;
HESS CORP (Amerada Hess prior to 05/2006);HES;01/12/2017;Audit;Doctor Kevin Meyers;Member;;Independent Director;Yes;Doctor Kevin Meyers joined this role in 16 May 2013;1970;Yes;34354;
HESS CORP (Amerada Hess prior to 05/2006);HES;01/12/2017;Audit;Bill Schrader;Member;;Independent Director;Yes;Bill Schrader joined this role in 16 May 2013;1970;Yes;1296062;
AMGEN INC;AMG;01/12/2017;Audit;Frank Herringer;Financial Expert;;Independent Director;Yes;Frank Herringer joined this role in Oct 2017;2068;Yes;15734;
AMGEN INC;AMGN;01/12/2017;Audit;Frank Herringer;Financial Expert;;Independent Director;Yes;Frank Herringer joined this role in Oct 2017;2068;Yes;15734;
AMGEN INC;AMG;01/12/2017;Audit;Judy Pelham;Member;;Independent Director;Yes;Judy Pelham departed in 19 May 2017;2068;Yes;33434;
AMGEN INC;AMGN;01/12/2017;Audit;Judy Pelham;Member;;Independent Director;Yes;Judy Pelham departed in 19 May 2017;2068;Yes;33434;
AMGEN INC;AMG;01/12/2017;Audit;Frank Biondi Jr;Chairman;;Independent Director;Yes;Frank Biondi Jr departed in 19 May 2017;2068;Yes;35814;
AMGEN INC;AMGN;01/12/2017;Audit;Frank Biondi Jr;Chairman;;Independent Director;Yes;Frank Biondi Jr departed in 19 May 2017;2068;Yes;35814;
AMGEN INC;AMG;01/12/2017;Audit;Fred Hassan;Financial Expert;;Independent Director;Yes;Fred Hassan joined this role in 28 Jul 2015;2068;Yes;41301;
AMGEN INC;AMGN;01/12/2017;Audit;Fred Hassan;Financial Expert;;Independent Director;Yes;Fred Hassan joined this role in 28 Jul 2015;2068;Yes;41301;
AMGEN INC;AMG;01/12/2017;Audit;Charles Holley Jr;Chairman / Financial Expert;Executive VP/CFO(1);Independent Director;Yes;Charles Holley Jr joined this role in Oct 2017;2068;Yes;42386;
AMGEN INC;AMGN;01/12/2017;Audit;Charles Holley Jr;Chairman / Financial Expert;Executive VP/CFO(1);Independent Director;Yes;Charles Holley Jr joined this role in Oct 2017;2068;Yes;42386;
AMGEN INC;AMG;01/12/2017;Audit;Doctor Rebecca Henderson;Member;;Independent Director;Yes;Doctor Rebecca Henderson joined this role in 19 May 2016;2068;Yes;141595;
AMGEN INC;AMGN;01/12/2017;Audit;Doctor Rebecca Henderson;Member;;Independent Director;Yes;Doctor Rebecca Henderson joined this role in 19 May 2016;2068;Yes;141595;
AMGEN INC;AMG;01/12/2017;Audit;Ellen Kullman;Financial Expert;;Independent Director;Yes;Ellen Kullman joined this role in 14 Oct 2016;2068;Yes;310270;
AMGEN INC;AMGN;01/12/2017;Audit;Ellen Kullman;Financial Expert;;Independent Director;Yes;Ellen Kullman joined this role in 14 Oct 2016;2068;Yes;310270;
AMGEN INC;AMG;01/12/2017;Audit;François De Carbonnel;Financial Expert;;Independent Director;Yes;François De Carbonnel joined this role in 02 Oct 2008;2068;Yes;348942;
AMGEN INC;AMGN;01/12/2017;Audit;François De Carbonnel;Financial Expert;;Independent Director;Yes;François De Carbonnel joined this role in 02 Oct 2008;2068;Yes;348942;
AMGEN INC;AMG;01/12/2017;Audit;Doctor Tyler Jacks;Member;;Independent Director;Yes;Doctor Tyler Jacks joined this role in 19 May 2016;2068;Yes;889570;
AMGEN INC;AMGN;01/12/2017;Audit;Doctor Tyler Jacks;Member;;Independent Director;Yes;Doctor Tyler Jacks joined this role in 19 May 2016;2068;Yes;889570;
AMGEN INC;AMG;01/12/2017;Audit;Doctor Wanda Austin;Member;;Independent Director;Yes;Doctor Wanda Austin joined this role in 11 Dec 2017;2068;Yes;1085829;
AMGEN INC;AMGN;01/12/2017;Audit;Doctor Wanda Austin;Member;;Independent Director;Yes;Doctor Wanda Austin joined this role in 11 Dec 2017;2068;Yes;1085829;
AMPHENOL CORP;APH;01/12/2017;Audit;Ed Jepsen;Chair/Financial Expert;Executive VP/CFO(2);Independent Director;Yes;Ed Jepsen joined this role in 01 Apr 2010;2100;Yes;206730;
AMPHENOL CORP;APH;01/12/2017;Audit;Ronald Badie;Financial Expert;;Independent Director;Yes;Ronald Badie joined this role in 25 May 2016;2100;Yes;323568;
AMPHENOL CORP;APH;01/12/2017;Audit;Stanley Clark;Member;;Independent Director;Yes;Stanley Clark joined this role in 27 Jan 2005;2100;Yes;328740;
AMPHENOL CORP;APH;01/12/2017;Audit;David Falck;Member;;Presiding Independent Director;Yes;David Falck joined this role in 21 May 2014;2100;Yes;604786;
INVESCO LTD (Invesco PLC prior to 12/2007);IVZ;01/12/2017;Audit;Doctor Denis Kessler;Member;;Independent Director;Yes;Doctor Denis Kessler joined this role in 04 Mar 2002;2129;Yes;15867;
INVESCO LTD (Invesco PLC prior to 12/2007);IVZ;01/12/2017;Audit;Rick Wagoner Jr;Financial Expert;Executive VP/CFO(1);Independent Director;Yes;Rick Wagoner Jr joined this role in 15 May 2014;2129;Yes;24852;
INVESCO LTD (Invesco PLC prior to 12/2007);IVZ;01/12/2017;Audit;Rick Wagoner Jr;Financial Expert;VP/CFO(1);Independent Director;Yes;Rick Wagoner Jr joined this role in 15 May 2014;2129;Yes;24852;
INVESCO LTD (Invesco PLC prior to 12/2007);IVZ;01/12/2017;Audit;Rob Henrikson;Member;;Independent Director;Yes;Rob Henrikson joined this role in 01 Jan 2012;2129;Yes;42316;
INVESCO LTD (Invesco PLC prior to 12/2007);IVZ;01/12/2017;Audit;Phoebe Wood;Chair/Financial Expert;Executive VP/CFO(1);Independent Director;Yes;Phoebe Wood joined this role in 14 May 2015;2129;Yes;55977;
INVESCO LTD (Invesco PLC prior to 12/2007);IVZ;01/12/2017;Audit;Phoebe Wood;Chair/Financial Expert;Vice Chairman/CFO(1);Independent Director;Yes;Phoebe Wood joined this role in 14 May 2015;2129;Yes;55977;
INVESCO LTD (Invesco PLC prior to 12/2007);IVZ;01/12/2017;Audit;Phoebe Wood;Chair/Financial Expert;VP/CFO(2);Independent Director;Yes;Phoebe Wood joined this role in 14 May 2015;2129;Yes;55977;
INVESCO LTD (Invesco PLC prior to 12/2007);IVZ;01/12/2017;Audit;Ben Johnson III;Member;;Chairman (Independent Director);Yes;Ben Johnson III joined this role in 11 Dec 2008;2129;Yes;181675;
INVESCO LTD (Invesco PLC prior to 12/2007);IVZ;01/12/2017;Audit;Ed Lawrence;Member;;Independent Director;Yes;Ed Lawrence departed in 11 May 2017;2129;Yes;325861;
INVESCO LTD (Invesco PLC prior to 12/2007);IVZ;01/12/2017;Audit;Sir Nigel Sheinwald;Member;;Independent Director;Yes;Sir Nigel Sheinwald joined this role in 14 May 2015;2129;Yes;1194019;
INVESCO LTD (Invesco PLC prior to 12/2007);IVZ;01/12/2017;Audit;Sarah Beshar;Member;;Independent Director;Yes;Sarah Beshar joined this role in 11 May 2017;2129;Yes;1884326;
ANADARKO PETROLEUM CORP (De-listed 08/2019);AAZ;01/12/2017;Audit;Claire Farley;Member;;Independent Director;Yes;Claire Farley joined this role in 09 Feb 2017;2138;Yes;88637;
ANADARKO PETROLEUM CORP (De-listed 08/2019);APC;01/12/2017;Audit;Claire Farley;Member;;Independent Director;Yes;Claire Farley joined this role in 09 Feb 2017;2138;Yes;88637;
ANADARKO PETROLEUM CORP (De-listed 08/2019);AAZ;01/12/2017;Audit;David Constable;Member;;Independent Director;Yes;David Constable joined this role in 25 Jul 2016;2138;Yes;532409;
ANADARKO PETROLEUM CORP (De-listed 08/2019);APC;01/12/2017;Audit;David Constable;Member;;Independent Director;Yes;David Constable joined this role in 25 Jul 2016;2138;Yes;532409;
ANADARKO PETROLEUM CORP (De-listed 08/2019);AAZ;01/12/2017;Audit;Mark McKinley;Member;;Independent Director;Yes;Mark McKinley joined this role in 11 Feb 2015;2138;Yes;552735;
ANADARKO PETROLEUM CORP (De-listed 08/2019);APC;01/12/2017;Audit;Mark McKinley;Member;;Independent Director;Yes;Mark McKinley joined this role in 11 Feb 2015;2138;Yes;552735;
ANADARKO PETROLEUM CORP (De-listed 08/2019);AAZ;01/12/2017;Audit;General Chili Chilton;Member;;Independent Director;Yes;General Chili Chilton departed in 10 May 2017;2138;Yes;775501;
ANADARKO PETROLEUM CORP (De-listed 08/2019);APC;01/12/2017;Audit;General Chili Chilton;Member;;Independent Director;Yes;General Chili Chilton departed in 10 May 2017;2138;Yes;775501;
ANADARKO PETROLEUM CORP (De-listed 08/2019);AAZ;01/12/2017;Audit;Eric Mullins;Chairman / Financial Expert;;Independent Director;Yes;Eric Mullins joined this role in 14 May 2013;2138;Yes;805931;
ANADARKO PETROLEUM CORP (De-listed 08/2019);APC;01/12/2017;Audit;Eric Mullins;Chairman / Financial Expert;;Independent Director;Yes;Eric Mullins joined this role in 14 May 2013;2138;Yes;805931;
AON PLC (Aon Corp prior to 04/2012);AON;01/12/2017;Audit;Fulvio Conti;Financial Expert;FD(1);Independent Director;Yes;Fulvio Conti joined this role in 24 Jun 2016;2297;Yes;14927;
AON PLC (Aon Corp prior to 04/2012);;01/12/2017;Audit;Fulvio Conti;Financial Expert;FD(1);Independent Director;Yes;Fulvio Conti joined this role in 24 Jun 2016;2297;Yes;14927;
AON PLC (Aon Corp prior to 04/2012);AON;01/12/2017;Audit;John Losh;Chairman / Financial Expert;Executive VP/CFO(1);Independent Director;Yes;John Losh joined this role in 21 May 2010;2297;Yes;24848;
AON PLC (Aon Corp prior to 04/2012);;01/12/2017;Audit;John Losh;Chairman / Financial Expert;Executive VP/CFO(1);Independent Director;Yes;John Losh joined this role in 21 May 2010;2297;Yes;24848;
AON PLC (Aon Corp prior to 04/2012);AON;01/12/2017;Audit;Gloria Santona;Member;;Independent Director;Yes;Gloria Santona joined this role in 24 Jun 2016;2297;Yes;36622;
AON PLC (Aon Corp prior to 04/2012);;01/12/2017;Audit;Gloria Santona;Member;;Independent Director;Yes;Gloria Santona joined this role in 24 Jun 2016;2297;Yes;36622;
AON PLC (Aon Corp prior to 04/2012);AON;01/12/2017;Audit;Doctor Carolyn Woo;Member;;Independent Director;Yes;Doctor Carolyn Woo joined this role in Jan 2000;2297;Yes;50121;
AON PLC (Aon Corp prior to 04/2012);;01/12/2017;Audit;Doctor Carolyn Woo;Member;;Independent Director;Yes;Doctor Carolyn Woo joined this role in Jan 2000;2297;Yes;50121;
AON PLC (Aon Corp prior to 04/2012);AON;01/12/2017;Audit;General Dick Myers;Member;;Independent Director;Yes;General Dick Myers joined this role in 18 May 2012;2297;Yes;141797;
AON PLC (Aon Corp prior to 04/2012);;01/12/2017;Audit;General Dick Myers;Member;;Independent Director;Yes;General Dick Myers joined this role in 18 May 2012;2297;Yes;141797;
APA CORP (Apache Corp prior to 03/2021);APA;01/12/2017;Audit;George Lawrence Jr;Financial Expert;;Independent Director;Inside;George Lawrence Jr joined this role in 14 May 2015;2307;Yes;37356;
APA CORP (Apache Corp prior to 03/2021);APA;01/12/2017;Audit;Rod Patton;Financial Expert;;Independent Director;Outside;Rod Patton joined this role in 04 May 2006;2307;Yes;37361;
APA CORP (Apache Corp prior to 03/2021);APA;01/12/2017;Audit;Peter Ragauss;Financial Expert;;Independent Director;Yes;Peter Ragauss joined this role in 17 Dec 2014;2307;Yes;485925;
