BvDEP ID number;Ticker;Account date;Total assets;Working capital;Enterprise value;Sales;Gross profit;P/L before tax;P/L after tax;Research & Development Expenses;EBITDA;Return on capital employed (%);Return on total assets (%)
FR393430608;ARG;31/12/2018;1532546000;12610000;1468122114;85390000;;138380000;136686000;0;78274000;11,20;9,03
FR393430608;ARG;31/12/2018;782452511;12796285;972747649;104941799;;2144432;450835;;38917525;2,65;0,27
FR399467927;COH;31/12/2018;24046000;6804000;6268343;13816000;13154000;1075000;872000;0;2845000;7,64;4,47
FR399467927;COH;31/12/2018;24932000;6804000;5198343;13815000;;71000;773000;;2822000;0,65;0,29
FR422800029;VTR;31/12/2018;1505350000;-17249000;1278053476;53026000;;33106000;33106000;0;;3,08;2,20
FR422800029;VTR;31/12/2018;331203374;-516321;546273162;249160;;-92839;-92839;;-3365260;0,00;-0,03
FR536820269;FII;31/12/2018;1865775000;570533000;1446232499;1645095000;1265153000;130633000;96794000;30900000;238505000;9,86;7,00
FR536820269;FII;31/12/2018;859174000;437000;1310690499;9697000;;41247000;42502000;;528000;10,69;4,80
FR552016628;ADP;31/12/2018;16067000000;76000000;21294979631;4478000000;4333000000;1030000000;695000000;0;2078000000;9,42;6,41
FR552016628;ADP;31/12/2018;11644000000;290000000;17615979631;2957000000;;856000000;600000000;;1358000000;9,98;7,35
FR652014051;CA;31/12/2018;47378000000;7559000000;21178759709;71728000000;16223000000;565000000;36000000;0;2421000000;3,77;1,19
FR652014051;CA;31/12/2018;31122000000;-17000000;16638759709;0;;1384000000;1571000000;;-11000000;5,46;4,45
FR692030992;RF;31/12/2018;12118047000;396531000;7147163875;4366403000;2407557000;237252000;248214000;0;439139000;4,16;1,96
FR692030992;RF;31/12/2018;5172371000;758000;4209052875;0;;230146000;243725000;;-107951000;5,17;4,45
FR712049618;EL;31/12/2018;48398000000;2637000000;50294542426;10833000000;7628000000;1289000000;1150000000;190000000;2157000000;3,44;2,66
FR712049618;EL;31/12/2018;26537000000;-10000000;48655542426;0;;405000000;405000000;;;1,65;1,53
FR955512611;POM;31/12/2018;6779396000;108217000;3777610390;7244636000;1505089000;654279000;541283000;86517000;1136949000;17,90;9,65
FR955512611;POM;31/12/2018;3017331000;-5556000;3595543390;12818000;;213651000;225782000;;7235000;;7,08
GB00395826;BBY;31/12/2018;4567000000;475000000;1797520891;;371000000;123000000;135000000;;176000000;7,45;2,69
GB01393773;COST;31/12/2018;574600000;102900000;219185366;;89900000;40200000;32800000;;50000000;17,67;7,00
GB01757721;AET;31/12/2018;53137000;;;;15000;-1533000;;;-2327000;-2,88;-2,89
GB01884630;AEP;31/12/2018;421546000;2492000;152305586;;33189000;24239000;14002000;;38976000;6,72;5,75
GB02298163;SUN;31/12/2018;18830000;3584000;21527852;;4672000;515000;725000;618000;2244000;3,76;2,74
GB02990100;PEG;31/12/2018;14677000;3072000;14260080;;6884000;1126000;1143000;;1955000;12,92;7,67
GB03743194;EMR;31/12/2018;141100000;45900000;53374158;;72300000;9400000;5800000;;13300000;16,41;6,66
GB04241478;APH;31/12/2018;403609000;33135000;433012541;;72648000;22803000;18356000;131000;31457000;8,42;5,65
GB05467327;HUM;31/12/2018;203913000;-4919000;106697696;;3573000;-9130000;-10041000;;11809000;-1,37;-4,48
GB06474216;SCG;31/12/2018;321825;0;;;-12728;-54477;-100981;;;-23,79;-16,93
GB07440171;TMO;31/12/2018;140149000;7778000;101816840;;32046000;-15172000;-15489000;;-5773000;-10,58;-10,83
GB08211361;COG;31/12/2018;3452000;443000;;;5234000;-1488000;-1442000;1414000;-1431000;;-43,11
GB09127533;IGT;31/12/2018;10664256000;126466000;8321642107;;1480656000;76680000;-67690000;;1166889000;4,59;0,72
GB09761509;STX;31/12/2018;43381000;343000;;;11570000;-5153000;-1794000;4300000;-2814000;-12,66;-11,88
GB09800044;MRO;31/12/2018;19734000000;2217000000;11357251366;;1685000000;-550000000;-475000000;203000000;443000000;-2,41;-2,79
GB09909709;FTI;31/12/2018;19728526000;873041000;6370554616;;;-1056897000;-1368026000;;-311520000;-8,55;-5,36
GB11252957;RAI;31/12/2018;50489000;8476000;;;16173000;7801000;;;11705000;;15,45
IE462861;EQT;31/12/2018;22806251;-512848;24120915;;-77702;-8246437;;;-7016717;-40,17;-36,16
IE512978;ETN;31/12/2018;26406992869;3892691778;32231990399;;6122385608;2090823149;1851034026;;2732560947;13,57;7,92
IE529592;PRGO;31/12/2018;9787052411;1315395527;6995539425;;1631992215;258944547;116729992;;560927708;6,49;2,65
IT00154130207;CLF;31/12/2018;46062000;19099000;34744985;50616000;26421000;-1046000;-818000;;656000;-3,48;-2,27
IT00154130207;CLF;31/12/2018;34337000;12863000;30522985;38422000;17838000;-1415000;-1111000;;-237000;-6,63;-4,12
IT00183410653;NWL;31/12/2018;190899000;2684000;;251583000;127889000;5233000;3361000;;18540000;9,01;2,74
IT00183410653;NWL;31/12/2018;182832000;-3472000;;231397000;92532000;4887000;3114000;;12572000;8,90;2,67
IT00607460201;SO;31/12/2018;1142986000;-43306000;437895606;1623771000;755412000;37980000;17287000;;198089000;9,22;3,32
IT00607460201;SO;31/12/2018;619851000;-742000;459946606;12252000;12523000;-15767000;-13744000;;-104000;-0,18;-2,54
IT01339010553;TER;31/12/2018;216085000;2373000;80193185;20712000;23282000;-13933000;-10051000;;733000;-37,66;-6,45
IT01339010553;TER;31/12/2018;121693000;451000;78075185;5792000;5611000;-9675000;-6337000;;446000;-43,68;-7,95
IT01346970393;ITW;31/12/2018;37740000;3798000;13033915;28941000;8245000;897000;355000;;1545000;18,55;2,38
IT01346970393;ITW;31/12/2018;33758000;1070000;12073915;1161000;948000;402000;172000;;-1722000;5,95;1,19
IT01516720990;GIS;31/12/2018;3670696;1554999;;2300752;771940;292267;202166;;327364;30,70;7,96
IT02104510306;COP;31/12/2018;5290000;;;6651000;6651000;6651000;46000;;;;
IT03032420170;GE;31/12/2018;137177000;32055000;101262001;135126000;89916000;12312000;8151000;;19931000;14,07;8,98
IT03032420170;GE;31/12/2018;119810000;637000;107433001;81789000;53184000;10244000;7630000;;13554000;13,37;8,55
IT03302810159;MON;31/12/2018;186294000;16310000;73174001;173501000;184552000;20692000;11721000;;31753000;28,32;11,11
IT03302810159;MON;31/12/2018;99517000;-1004000;40104001;3191000;7599000;-5536000;-7470000;;;-5,48;-5,56
IT03998870962;DNR;31/12/2018;753181000;164371000;;410132000;309519000;36848000;26078000;;72048000;7,54;4,89
IT03998870962;DNR;31/12/2018;433154000;-2096000;;1000;38929000;11006000;10825000;;7566000;4,73;2,54
IT04923960159;AMP;31/12/2018;2218434000;56610000;4008407904;1362234000;1079833000;138576000;100410000;;225467000;8,78;6,25
IT04923960159;AMP;31/12/2018;1577148000;-10687000;3955036904;310668000;329447000;90426000;79261000;;73372000;7,61;5,73
IT05394801004;ACE;31/12/2018;8157063000;-548069000;5272379498;2836890000;1606852000;409033000;284699000;;844819000;8,54;5,01
IT05394801004;ACE;31/12/2018;5346753000;-94648000;5021589498;156162000;171306000;161709000;147776000;;-46684000;4,86;3,02
IT09768170152;TXT;31/12/2018;157617000;13253000;153323129;39958000;39512000;562000;565000;;3666000;0,59;0,36
IT09768170152;TXT;31/12/2018;146135000;10182000;147289129;27272000;27102000;-961000;-670000;;1103000;-0,69;-0,66
IT11666900151;IP;31/12/2018;1651365000;459062000;3118200644;1279167000;828605000;239926000;173862000;;286223000;20,59;14,53
IT11666900151;IP;31/12/2018;744959000;23872000;3137399644;103597000;77035000;94736000;87931000;;22581000;16,40;12,72
MK5168660;TEL;31/12/2018;18183247000;;;10424931000;8698553000;1818535000;1596062000;;4132162000;12,08;10,00
MTC51272;MPC;31/12/2018;82525592;745062;71961957;3297616;3311446;12779222;10578515;;;;15,49
NL54606179;FAST;31/12/2018;40654000;;;1638000;1893000;-6269000;-6269000;;;;-15,42
NO919160675;VAR;31/12/2018;9369506317;124027848;;2544654772;;933132680;273705178;;1905836016;13,51;9,96
NO919160675;VAR;31/12/2018;9369506317;124027848;;2544654772;;933132680;273705178;;1905836016;13,51;9,96
NO933792854;MAS;31/12/2018;1072728000;320297000;;760505000;;141099000;116337000;;265550000;18,36;13,15
NO982463718;TEL;31/12/2018;191272000000;8040000000;238091220193;110362000000;;23621000000;17442000000;;42135000000;20,80;12,35
NO982463718;TEL;31/12/2018;158483000000;7000000;237579220193;1134000000;;-710000000;-1754000000;;-670000000;;-0,45
NO990251657;LIFE;31/12/2018;23418000;-832000;185779176;0;;-8793000;-8793000;;-8701000;-39,25;-37,55
PL002050380;GME;31/12/2018;115988000;3928000;354446000;101836000;52319000;6507000;6431000;;;;5,61
PL002050380;GME;31/12/2018;107830000;2634000;356315000;95179000;45775000;7183000;5581000;;;;6,66
PL010732630;BDX;31/12/2018;5456351000;743777000;1731874494;7387137000;741077000;403388000;305484000;;;;7,39
PL010732630;BDX;31/12/2018;4377639000;-531502000;1742498494;6796868000;528303000;396764000;321602000;;;;9,06
PL011325771;SUN;31/12/2018;11088000;6714000;4598000;11323000;;519000;506000;;675000;14,02;4,68
PL012693488;PEP;31/12/2018;3054282000;87302000;1525113714;3448712000;209125000;40693000;3381000;;;;1,33
PL012693488;PEP;31/12/2018;1092606000;18129000;723037714;17215000;4433000;-34965000;-43928000;;;;-3,20
PL012774867;CCE;31/12/2018;70921000;55436000;;378000;;-3656000;-57539000;;;-5,27;-5,16
PL014947817;MCD;31/12/2018;7839000;4475000;;5361000;;161000;154000;;259000;3,47;2,05
PL017433674;HRS;31/12/2018;391007000;63869000;130412873;133747000;;8927000;7274000;;32688000;;2,28
PL017433674;HRS;31/12/2018;352801000;8118000;130355873;112378000;;5291000;4790000;;23096000;;1,50
PL021206219;APC;31/12/2018;20804000;-30000;2183000;;;7670000;6000000;;;;36,87
PL021806445;APA;31/12/2018;1575000;991000;;2357000;;-643000;-723000;;-576000;-61,80;-40,83
PL021806445;APA;31/12/2018;267000;-8000;;3000;;-293000;-316000;;;-129,82;
PL021870354;CMI;31/12/2018;8973000;3479000;;12790000;;1569000;1333000;;2036000;55,25;17,49
PL072695687;MUR;31/12/2018;1606162000;774411000;;910658000;172656000;68942000;53486000;;;;4,29
PL072695687;MUR;31/12/2018;723712000;25849000;;48309000;117142000;77112000;77119000;;;;10,66
PL100159950;EXC;31/12/2018;37017000;11949000;25535300;50884000;7653000;-56000;-5000;;;0,66;-0,15
PL120532280;ALL;31/12/2018;136970000;52722000;132048792;117730000;32393000;5850000;5011000;;;;4,27
PL120532280;ALL;31/12/2018;122760000;38942000;133651792;108692000;28447000;2897000;2793000;;;;2,36
PL122515020;ANR;31/12/2018;97042000;52931000;;221834000;;-7195000;-7195000;;;;-7,41
PL140027660;OXY;31/12/2018;175000;64000;;197000;;149000;149000;;;112,12;85,14
PL140738830;ECL;31/12/2018;3175000;403000;-436875;9488000;;-66000;-32000;;-54000;-2,39;-2,08
PL140777556;CRM;31/12/2018;161498000;15063000;92864560;69793000;29468000;-24872000;-24978000;;;;-15,40
PL140777556;CRM;31/12/2018;125565000;9152000;94444560;41016000;13211000;-25108000;-25108000;;;;-20,00
PL141312256;MMC;31/12/2018;3071000;758000;;9753000;;-675000;-694000;;-580000;-28,75;-21,98
PL142240369;NOV;31/12/2018;5311000;4334000;;12000;;2340000;2340000;;-255000;;44,06
PL142416650;HRL;31/12/2018;6617000;1773000;20075164;2289000;;-694000;-694000;;;-10,79;-10,49
PL142844239;VAR;31/12/2018;7653000;162000;;226000;;-3004000;-3004000;;-2540000;-41,24;-39,25
PL142942858;IGT;31/12/2018;58323000;-48212000;-32118999;4823000;;-699000;-693000;;253000;;-1,20
PL180747966;PPG;31/12/2018;1915000;1237000;;35000;;-259000;-259000;;;;-13,53
PL190028940;COG;31/12/2018;1001378000;173700000;;2081841000;288832000;92776000;72046000;;;;9,27
PL190028940;COG;31/12/2018;462671000;23160000;192648430;18730000;85888000;74521000;70038000;;;;16,11
PL200072720;MRK;31/12/2018;10544000;9056000;;2304000;;-17426000;-17883000;;-15316000;-276,05;
PL221062100;BBT;31/12/2018;49752000;-1578000;;37525000;18273000;10410000;8372000;;;;20,92
PL221062100;BBT;31/12/2018;45354000;3429000;;23039000;14560000;10086000;8117000;;;;22,24
PL260637552;ICE;31/12/2018;7551000;631000;17964032;;;-1734000;-1653000;;-1728000;-56,14;-22,96
PL260637552;ICE;31/12/2018;6969000;626000;18043032;;;-1648000;-1567000;;-1654000;-53,06;-23,65
PL271936361;STX;31/12/2018;1320904000;31872000;534902485;336529000;294727000;235168000;186428000;;;;17,80
PL271936361;STX;31/12/2018;354213000;4138000;523292485;3702000;-307000;4984000;4432000;;;;1,41
PL272129154;BMC;31/12/2018;112514000;30972000;;66027000;481000;-33923000;-33561000;;;;-30,15
PL272129154;BMC;31/12/2018;105775000;35877000;;48738000;-2438000;-26163000;-25442000;;;;-24,74
PL272670528;TXN;31/12/2018;6384000;783000;2203612;7691000;;210000;146000;;401000;5,56;3,29
PL301031192;LEG;31/12/2018;12470000;331000;;11287000;;145000;43000;;1355000;102,42;1,16
PL360098885;LUK;31/12/2018;674000;-110000;5104800;4017000;;-247000;-286000;;-230000;;-36,65
PL368065431;ARG;31/12/2018;2206000;1364000;;1476000;;377000;321000;;;;17,09
PL382460317;PNW;31/12/2018;2468000;484000;;4715000;;510000;510000;;666000;;20,67
PL472048449;LSI;31/12/2018;44442000;12758000;32647840;47667000;13334000;6728000;6067000;;;;15,14
PL472048449;LSI;31/12/2018;44402000;4417000;33974840;42229000;11385000;5951000;5501000;;;;13,40
PL472333285;MON;31/12/2018;262900000;70888000;88094968;246274000;147419000;36609000;17364000;;;;13,93
PL472333285;MON;31/12/2018;241258000;52061000;100187968;244015000;144735000;11854000;7553000;;;;4,91
PL634635800;LEN;31/12/2018;108062000;58345000;59609377;130289000;38550000;9021000;7246000;;;9,40;8,35
PT502293225;CFN;31/12/2018;112388279;601051;96495200;71174630;79657906;10112679;6199156;;;;9,00
PT502293225;CFN;31/12/2018;145065991;-2851;;;8048543;1920975;1966503;;3685345;3,50;1,32
PT505127261;MAR;31/12/2018;319717776;25541907;215751677;200590363;143433429;3254949;1593982;;16517674;;1,02
PT505127261;MAR;31/12/2018;176358168;-108018;127409271;1010058;1075008;-7389883;-5951497;;818965;-3,69;-4,19
PT507172086;ALTR;31/12/2018;1492189274;75229329;1623881609;777610801;526043513;250639767;194497353;;;;16,80
PT507172086;ALTR;31/12/2018;393035628;870865;1263816944;7971250;145978555;134023464;135210911;;140516939;38,12;34,10
RO108;PPL;31/12/2018;91380122;14272890;37677682;51519678;;4509518;4336804;;3523245;6,17;4,94
RO1108834;RRD;31/12/2018;43524233;11878439;;40824006;;670058;430928;;3859466;2,98;1,54
RO13267221;EL;31/12/2018;3997577938;27308372;3185647961;16832488;;297969603;297973355;;-37002191;;7,45
RO13328043;TEL;31/12/2018;4655712143;221617822;1291036435;2679159243;;93064329;81303373;;371478928;3,13;2,00
RO67329;STZ;31/12/2018;58960241;5744562;25375780;27072366;;-4614029;-4607158;;-703273;-9,27;-7,83
RO8422035;M;31/12/2018;495124112;56692083;801350548;419850605;;6083531;4110438;;45185729;4,52;1,23
RU43439835;LIFE;31/12/2018;6506620000;-933410000;1702650984;;11465000;-286085000;-219091000;;;-5,67;-4,40
RU72986805;ROST;31/12/2018;4650957000;30751000;1242244031;;11723000;8207000;6205000;;;;0,18
SE5560009374;DE;31/12/2018;1101035000;-6438000;;322209000;;83666000;77058000;;140769000;9,35;7,60
SE5560009374;DE;31/12/2018;447585000;-4484000;;39323000;;11980000;11935000;;880000;5,54;2,68
SE5562972504;CAG;31/12/2018;343368000;83307000;302372202;486996000;;35234000;27454000;;45569000;;10,26
SE5562972504;CAG;31/12/2018;299706000;12243000;314818202;82912000;;18116000;17969000;;1132000;;6,05
SE5565766655;CI;31/12/2018;38080000;-602000;62389036;6564000;;44572000;44572000;;-41206000;;
SE5565766655;CI;31/12/2018;38111000;-605000;62425036;6564000;;-44532000;-44532000;;-41165000;;
SE5567608475;HUM;31/12/2018;5218000000;847000000;2674403840;6714000000;;;-72000000;;;;
SE5567608475;HUM;31/12/2018;3656000000;-2000000;;0;;;-24000000;;;;
SE5568494180;EQT;31/12/2018;5392000000;-124000000;;3935000000;;1317000000;1240000000;;1527000000;36,31;24,43
SE5568494180;EQT;31/12/2018;5305800000;600000;;426400000;;1100400000;1108600000;;-76800000;31,08;20,74
